num_vertices	np_len	np_perc	np_nanos	np_heap_len	np_heap_perc	np_heap_nanos	heap_len	heap_perc	heap_nanos	heap_mc_len	heap_mc_perc	heap_mc_nanos	greedy_len	greedy_perc	greedy_nanos	
7	42401.102413	1.000000	1000200	42401.102413	1.000000	0	42401.102413	1.000000	0	42401.102413	1.000000	0	42401.102413	1.000000	0	
7	36390.505627	1.000000	1000700	36390.505627	1.000000	1000500	36390.505627	1.000000	0	36390.505627	1.000000	0	36390.505627	1.000000	0	
7	39265.922031	1.000000	0	39265.922031	1.000000	1000700	41477.926258	0.946670	0	41477.926258	0.946670	0	41627.970615	0.943258	0	
7	36912.129547	1.000000	1999800	36912.129547	1.000000	0	36912.129547	1.000000	0	36912.129547	1.000000	0	36912.129547	1.000000	0	
7	30251.745739	1.000000	999400	30251.745739	1.000000	1000300	31114.331810	0.972277	0	31114.331810	0.972277	0	31114.331810	0.972277	0	
7	32253.057057	1.000000	1000300	32253.057057	1.000000	0	32253.057057	1.000000	0	32253.057057	1.000000	0	32253.057057	1.000000	0	
7	32679.611094	1.000000	1000200	32679.611094	1.000000	1000100	32684.349706	0.999855	0	32684.349706	0.999855	0	32684.349706	0.999855	0	
7	28951.280588	1.000000	1000200	28951.280588	1.000000	0	30042.671578	0.963672	0	30042.671578	0.963672	0	30042.671578	0.963672	0	
7	35391.829153	1.000000	0	35391.829153	1.000000	1000200	35391.829153	1.000000	0	35391.829153	1.000000	0	35391.829153	1.000000	0	
7	29838.136678	1.000000	1000100	29838.136678	1.000000	0	29838.136678	1.000000	0	29838.136678	1.000000	0	29838.136678	1.000000	0	
7	33218.787488	1.000000	1000300	33218.787488	1.000000	1000300	33218.787488	1.000000	0	33218.787488	1.000000	0	33218.787488	1.000000	0	
7	39808.600293	1.000000	1000400	39808.600293	1.000000	0	39808.600293	1.000000	0	39808.600293	1.000000	0	41235.863295	0.965388	1000100	
7	36120.088599	1.000000	1001000	36120.088599	1.000000	0	36120.088599	1.000000	0	36120.088599	1.000000	0	36120.088599	1.000000	0	
7	39612.827695	1.000000	1000400	39612.827695	1.000000	1000000	40534.373173	0.977265	0	40534.373173	0.977265	0	40534.373173	0.977265	0	
7	36577.137922	1.000000	1000200	36577.137922	1.000000	0	36577.137922	1.000000	0	36577.137922	1.000000	0	36577.137922	1.000000	0	
7	36200.419667	1.000000	1016300	36200.419667	1.000000	984200	36602.566590	0.989013	0	36602.566590	0.989013	0	36602.566590	0.989013	0	
7	31937.442730	1.000000	1000100	31937.442730	1.000000	0	31937.442730	1.000000	0	31937.442730	1.000000	0	31937.442730	1.000000	0	
7	32961.823622	1.000000	1000400	32961.823622	1.000000	999900	32961.823622	1.000000	0	32961.823622	1.000000	0	32961.823622	1.000000	0	
7	35491.590602	1.000000	0	35491.590602	1.000000	1000000	35491.590602	1.000000	0	35491.590602	1.000000	0	35491.590602	1.000000	0	
7	25704.583312	1.000000	1000200	25704.583312	1.000000	0	25704.583312	1.000000	0	25704.583312	1.000000	0	25704.583312	1.000000	0	
7	29404.196253	1.000000	1000200	29404.196253	1.000000	1000000	29404.196253	1.000000	0	29404.196253	1.000000	0	29404.196253	1.000000	0	
7	30297.097838	1.000000	1000700	30297.097838	1.000000	1000700	30297.097838	1.000000	0	30297.097838	1.000000	0	30297.097838	1.000000	0	
7	33744.325004	1.000000	999800	33744.325004	1.000000	0	33744.325004	1.000000	0	33744.325004	1.000000	0	33744.325004	1.000000	0	
7	34208.126867	1.000000	1001000	34208.126867	1.000000	1000200	34208.126867	1.000000	0	34208.126867	1.000000	0	34208.126867	1.000000	0	
7	26033.864878	1.000000	999700	26033.864878	1.000000	0	26033.864878	1.000000	0	26033.864878	1.000000	0	26161.588313	0.995118	0	
7	38317.269423	1.000000	999300	38317.269423	1.000000	1001000	40300.942424	0.950778	0	40300.942424	0.950778	0	40300.942424	0.950778	0	
7	35471.762386	1.000000	1000000	35471.762386	1.000000	0	35471.762386	1.000000	0	35471.762386	1.000000	0	35471.762386	1.000000	0	
7	31286.240469	1.000000	1000700	31286.240469	1.000000	1000100	32224.187798	0.970893	0	32224.187798	0.970893	0	32224.187798	0.970893	0	
7	29498.395966	1.000000	1000200	29498.395966	1.000000	0	29498.395966	1.000000	0	29498.395966	1.000000	0	29498.395966	1.000000	0	
7	43956.475043	1.000000	999900	43956.475043	1.000000	1010700	44157.462755	0.995448	0	44157.462755	0.995448	0	44157.462755	0.995448	0	
7	46767.046211	1.000000	989800	46767.046211	1.000000	1000400	47710.184412	0.980232	0	47710.184412	0.980232	0	47710.184412	0.980232	0	
7	40301.853716	1.000000	999800	40301.853716	1.000000	0	40301.853716	1.000000	1001000	40301.853716	1.000000	0	41099.605471	0.980590	0	
7	33332.288229	1.000000	0	33332.288229	1.000000	999700	33332.288229	1.000000	0	33332.288229	1.000000	0	33332.288229	1.000000	0	
7	40672.802059	1.000000	1000200	40672.802059	1.000000	1000500	40672.802059	1.000000	0	40672.802059	1.000000	0	40672.802059	1.000000	0	
7	35797.616423	1.000000	999500	35797.616423	1.000000	0	35797.616423	1.000000	0	35797.616423	1.000000	1001000	35797.616423	1.000000	0	
7	32593.409063	1.000000	0	32593.409063	1.000000	1000100	34729.984305	0.938480	0	34729.984305	0.938480	0	34729.984305	0.938480	0	
7	27513.321231	1.000000	1000100	27513.321231	1.000000	0	27695.990038	0.993405	0	27695.990038	0.993405	1001900	27695.990038	0.993405	0	
7	31955.638699	1.000000	999200	31955.638699	1.000000	0	32119.712281	0.994892	0	32119.712281	0.994892	0	32119.712281	0.994892	0	
7	33090.497658	1.000000	999900	33090.497658	1.000000	999900	33090.497658	1.000000	0	33090.497658	1.000000	0	33090.497658	1.000000	0	
7	29973.470702	1.000000	0	29973.470702	1.000000	1000000	29973.470702	1.000000	0	29973.470702	1.000000	0	29973.470702	1.000000	0	
7	34224.569956	1.000000	1000400	34224.569956	1.000000	999900	34730.096327	0.985444	0	34730.096327	0.985444	0	34730.096327	0.985444	0	
7	41748.659992	1.000000	0	41748.659992	1.000000	1000200	43312.779150	0.963888	0	43312.779150	0.963888	0	43312.779150	0.963888	0	
7	34516.275756	1.000000	1001300	34516.275756	1.000000	999600	34516.275756	1.000000	0	34516.275756	1.000000	0	34516.275756	1.000000	0	
7	38647.538704	1.000000	1000700	38647.538704	1.000000	0	38647.538704	1.000000	0	38647.538704	1.000000	0	38647.538704	1.000000	0	
7	30721.841697	1.000000	1000500	30721.841697	1.000000	0	30721.841697	1.000000	0	30721.841697	1.000000	0	30721.841697	1.000000	0	
7	38991.882693	1.000000	998900	38991.882693	1.000000	1001600	38991.882693	1.000000	0	38991.882693	1.000000	0	40031.171958	0.974038	0	
7	34780.082846	1.000000	999600	34780.082846	1.000000	1000500	34780.082846	1.000000	0	34780.082846	1.000000	0	34780.082846	1.000000	0	
7	43054.514672	1.000000	999700	43054.514672	1.000000	0	43054.514672	1.000000	0	43054.514672	1.000000	0	43054.514672	1.000000	0	
7	40455.514267	1.000000	1000300	40455.514267	1.000000	1000300	40455.514267	1.000000	0	40455.514267	1.000000	0	40455.514267	1.000000	0	
7	33895.735798	1.000000	1000400	33895.735798	1.000000	0	33895.735798	1.000000	0	33895.735798	1.000000	0	33895.735798	1.000000	0	
7	35648.515116	1.000000	999900	35648.515116	1.000000	1000100	38328.320262	0.930083	0	38328.320262	0.930083	0	38328.320262	0.930083	0	
7	31839.096337	1.000000	1001500	31839.096337	1.000000	0	32934.529961	0.966739	0	32934.529961	0.966739	0	33400.062479	0.953265	0	
7	30144.781822	1.000000	999000	30144.781822	1.000000	1001100	30144.781822	1.000000	0	30144.781822	1.000000	0	30144.781822	1.000000	0	
7	37611.297858	1.000000	1000000	37611.297858	1.000000	0	37611.297858	1.000000	999900	37611.297858	1.000000	0	37611.297858	1.000000	0	
7	31554.809827	1.000000	1000200	31554.809827	1.000000	0	31554.809827	1.000000	0	31554.809827	1.000000	1000300	32065.776309	0.984065	0	
7	34330.907919	1.000000	0	34330.907919	1.000000	1000800	34330.907919	1.000000	0	34330.907919	1.000000	0	34330.907919	1.000000	0	
7	31233.844337	1.000000	999600	31233.844337	1.000000	1000300	31553.930205	0.989856	0	31553.930205	0.989856	0	32067.161163	0.974013	0	
7	34448.091284	1.000000	0	34448.091284	1.000000	999800	34448.091284	1.000000	0	34448.091284	1.000000	0	34448.091284	1.000000	0	
7	42328.003346	1.000000	1001400	42328.003346	1.000000	0	42700.124845	0.991285	0	42700.124845	0.991285	0	42700.124845	0.991285	0	
7	31328.521679	1.000000	0	31328.521679	1.000000	1001000	31328.521679	1.000000	0	31328.521679	1.000000	0	31328.521679	1.000000	0	
7	35541.161850	1.000000	999600	35541.161850	1.000000	0	35541.161850	1.000000	0	35541.161850	1.000000	0	35541.161850	1.000000	0	
7	39802.194545	1.000000	1000200	39802.194545	1.000000	1000200	39802.194545	1.000000	0	39802.194545	1.000000	0	39802.194545	1.000000	0	
8	41082.082596	1.000000	6002400	41082.082596	1.000000	4000700	41082.082596	1.000000	0	41082.082596	1.000000	0	41082.082596	1.000000	0	
8	37391.518749	1.000000	6000500	37391.518749	1.000000	4000700	37391.518749	1.000000	0	37391.518749	1.000000	0	37391.518749	1.000000	0	
8	35915.948204	1.000000	6001800	35915.948204	1.000000	2001800	35915.948204	1.000000	0	35915.948204	1.000000	0	35915.948204	1.000000	0	
