num_vertices	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_weighted_edge_len	greedy_weighted_edge_perc	greedy_weighted_edge_nanos	
100	85659.509154	1.000000	3000700	86486.473934	0.990438	0	128454.199955	0.666849	3000100	
100	84290.627109	1.000000	2000500	84290.627109	1.000000	1000800	162611.098936	0.518357	3000700	
100	81441.437510	1.000000	2000500	81441.437510	1.000000	999200	115456.937952	0.705384	2001000	
100	83081.775901	1.000000	3000700	83081.775901	1.000000	1000000	102016.259688	0.814397	2000600	
100	79861.196091	1.000000	3000200	79879.139743	0.999775	0	107014.223312	0.746267	3001000	
100	86467.141186	1.000000	2000600	86467.141186	1.000000	0	152986.931231	0.565193	3000600	
100	87523.261988	1.000000	3000500	88118.127838	0.993249	0	140515.617949	0.622872	3001200	
100	86764.883519	1.000000	3000200	86764.883519	1.000000	0	129111.507771	0.672015	3001600	
100	87464.016366	1.000000	3000800	87464.016366	1.000000	0	136407.717489	0.641196	3999900	
100	86549.615992	1.000000	3002000	86549.615992	1.000000	0	157071.974490	0.551019	2999400	
100	84388.271496	1.000000	2547400	84488.196560	0.998817	0	130273.005061	0.647780	2995400	
100	88807.381091	1.000000	3000900	88807.381091	1.000000	0	128553.732305	0.690819	3000500	
100	83809.995058	1.000000	3000700	83809.995058	1.000000	1000000	144417.992136	0.580329	3001500	
100	85368.614322	1.000000	3000100	85798.752181	0.994987	0	162470.457984	0.525441	3001100	
100	80369.650605	1.000000	3001100	80402.707223	0.999589	0	146682.539461	0.547916	3000800	
100	79765.397360	1.000000	2999500	79765.397360	1.000000	0	94920.741721	0.840337	3000700	
100	83009.999115	1.000000	2000400	83009.999115	1.000000	1000400	115394.999830	0.719355	2001200	
100	83534.790361	1.000000	2999800	83534.790361	1.000000	1001100	113550.767818	0.735660	1999600	
100	84928.121437	1.000000	2001300	84928.121437	1.000000	1000200	123782.348882	0.686108	1999700	
100	88779.080609	1.000000	3000800	88811.836573	0.999631	0	118301.476755	0.750448	3000900	
100	85338.518076	1.000000	3001500	85338.518076	1.000000	0	125227.560555	0.681468	3000200	
100	89371.911789	1.000000	1999700	89371.911789	1.000000	1000100	131367.857105	0.680318	3000800	
100	87093.476968	1.000000	3000700	87371.016352	0.996823	0	112179.245184	0.776378	3000600	
100	83456.339880	1.000000	3001600	83456.339880	1.000000	0	116243.344645	0.717945	3000400	
100	85192.063894	1.000000	3001000	85192.063894	1.000000	0	149369.416401	0.570345	3000600	
100	82587.493018	1.000000	3000300	82587.493018	1.000000	0	116043.727309	0.711693	3001700	
100	83365.363638	1.000000	1999200	83432.379752	0.999197	1000300	118220.939298	0.705166	3000400	
100	86194.924848	1.000000	2000400	86194.924848	1.000000	0	102794.031193	0.838521	3000800	
100	82142.571293	1.000000	2001000	82142.571293	1.000000	999400	129454.004739	0.634531	3001800	
100	88783.354056	1.000000	2999600	88783.354056	1.000000	0	103573.387859	0.857202	2001500	
100	85521.152850	1.000000	2999700	85521.152850	1.000000	0	111384.565846	0.767801	3001300	
100	86934.880532	1.000000	3000700	86983.410966	0.999442	0	147562.071098	0.589141	3000000	
100	85894.138316	1.000000	3001300	85894.138316	1.000000	0	123282.282442	0.696727	3000100	
100	84807.014618	1.000000	4001000	84807.014618	1.000000	0	138831.246232	0.610864	3000500	
100	79252.779782	1.000000	3000700	79252.779782	1.000000	0	123543.557865	0.641497	3000900	
100	80961.491925	1.000000	2001600	81687.710780	0.991110	999000	102924.202441	0.786613	2000400	
100	79128.129881	1.000000	3001400	79128.129881	1.000000	0	118366.819630	0.668499	2999900	
100	83683.224344	1.000000	3000600	84070.143340	0.995398	0	110211.599598	0.759296	3000800	
100	84875.535341	1.000000	2000300	86005.379851	0.986863	0	137149.812567	0.618853	3000700	
100	81217.820508	1.000000	3000800	81217.820508	1.000000	0	123584.288042	0.657186	3000500	
100	82550.755412	1.000000	3000600	82686.053957	0.998364	0	114668.299144	0.719909	3001700	
100	87234.434296	1.000000	1999600	87234.434296	1.000000	0	115146.245956	0.757597	3000800	
200	112291.875526	1.000000	13002700	112291.875526	1.000000	1000000	242430.300398	0.463192	13003100	
200	123622.388708	1.000000	8002500	123622.388708	1.000000	1000500	238535.016669	0.518257	13002100	
200	124064.333986	1.000000	12003700	124468.393113	0.996754	999300	237909.668450	0.521477	12002500	
200	116734.661985	1.000000	10003600	116734.661985	1.000000	1000400	238693.817235	0.489056	12001600	
200	122255.338835	1.000000	16003300	122408.296528	0.998750	1000200	259725.758529	0.470709	15003500	
200	117823.437584	1.000000	12002900	117823.437584	1.000000	1000000	171827.982524	0.685706	12002800	
200	116731.743920	1.000000	9001700	116731.743920	1.000000	1000200	231882.702210	0.503409	14003300	
200	122271.245932	1.000000	9001900	122271.245932	1.000000	1001300	216088.502430	0.565839	13002300	
200	119734.604149	1.000000	11002100	119734.604149	1.000000	1000200	223847.581610	0.534893	13003800	
