heap_len	heap_nanos  heap_mc_len	heap_mc_len_percent	heap_mc_nanos	heap_mc_circuit	
32130.043172	71014700	32130.043172	1.000000	2000400	[{"x":531.3252191352494,"y":3809.6499710710114},{"x":898.1151855653062,"y":3833.3384003255683},{"x":4710.513508875872,"y":303.5557867636257},{"x":5299.182657258866,"y":35.24645385519081},{"x":5338.512343677754,"y":1498.514455918956},{"x":5803.2188662292765,"y":2808.2433429921207},{"x":7495.239013480061,"y":2139.9347251687846},{"x":8459.143068538926,"y":3109.0655202560797},{"x":9048.362581724718,"y":3243.3586442537935},{"x":9368.521368316111,"y":4906.592835741817},{"x":7775.897062365959,"y":5389.830672765923},{"x":7661.065479470083,"y":7521.994874528254},{"x":8302.40483502664,"y":8380.36556004372},{"x":5283.761150826305,"y":9418.782136863076},{"x":4170.03830541786,"y":9279.588682251562},{"x":4246.456219846525,"y":7091.591240940877},{"x":2109.3322327028422,"y":7502.143321622407},{"x":1052.151429382097,"y":4643.131415310614}]
35051.198817	2816457100	35051.198817	1.000000	16003600	[{"x":18.767025372290664,"y":6969.57819134036},{"x":1241.4649792124053,"y":5446.645503062362},{"x":3198.815898417558,"y":758.47808082711},{"x":6488.350789903196,"y":1650.0822450438225},{"x":6723.471895863074,"y":2272.6759371526505},{"x":7278.67770021825,"y":2073.3690176858913},{"x":8999.486237555786,"y":2746.556032379493},{"x":9335.086261031242,"y":3266.7709868164106},{"x":8797.699434467833,"y":4685.098603494115},{"x":7278.167007031636,"y":4481.8375107705515},{"x":5280.564097828743,"y":4213.279789482424},{"x":7326.146393082593,"y":7754.991468861464},{"x":8364.5181822197,"y":9098.259093151704},{"x":8711.17235841924,"y":9599.05164104477},{"x":6182.515880818548,"y":8565.203199054962},{"x":5280.1860928253,"y":8144.696519161833},{"x":5088.132919650272,"y":7668.849909115928},{"x":2702.3452795479684,"y":7758.367661090303}]
35469.460931	86019900	35469.460931	1.000000	1000000	[{"x":85.98123083986678,"y":7309.186476943762},{"x":914.4395937527166,"y":2995.917180117634},{"x":440.0519821089665,"y":2467.113597828203},{"x":233.88376573425396,"y":863.7233046637114},{"x":839.2025021149764,"y":160.14379036855976},{"x":1062.7528930034723,"y":439.80205029168155},{"x":2135.136472536539,"y":1330.3648362529427},{"x":3778.4631623593323,"y":69.61873435743632},{"x":5375.954043562665,"y":1743.5313622339327},{"x":6303.002731661587,"y":507.10239602170213},{"x":8492.112337809936,"y":924.8673401527301},{"x":8649.639338468063,"y":2766.8209667488245},{"x":8671.936279478095,"y":3592.069147902327},{"x":9269.063373172286,"y":5590.846920254588},{"x":8475.600516176788,"y":7881.226160136767},{"x":7124.283530850902,"y":5376.846979130829},{"x":7055.5039674043255,"y":5219.890951345471},{"x":4545.628574718871,"y":4728.737176826957}]
38054.364388	756170000	38054.364388	1.000000	7002200	[{"x":9098.97263676718,"y":9714.923648132934},{"x":7135.046719260004,"y":8658.362037545092},{"x":6514.662812993209,"y":8858.799537151199},{"x":6371.448003347152,"y":8150.972289842702},{"x":5214.635121047531,"y":4395.851534392146},{"x":2691.1784046428834,"y":3977.2974430314293},{"x":2779.1872619006053,"y":6137.687122556132},{"x":301.7430117759546,"y":6105.616636128773},{"x":358.74871829466053,"y":4629.910446816072},{"x":932.3064203491373,"y":4330.52910119179},{"x":89.98589448078822,"y":450.6125167444686},{"x":2058.698582882542,"y":1249.944609874148},{"x":3705.369781334894,"y":1079.8586738215533},{"x":6121.638179282203,"y":998.5597494495446},{"x":6425.2465963523055,"y":1222.1850767390313},{"x":8824.302925724787,"y":2032.7268297407588},{"x":8761.406808093554,"y":4887.989583958212},{"x":9874.586686856203,"y":8795.363780527548}]
38226.598556	203332400	38226.598556	1.000000	4001100	[{"x":9836.733843125785,"y":581.182551467802},{"x":9726.730162552622,"y":3615.4157988834786},{"x":9095.270138179356,"y":5017.310822485086},{"x":7999.028572411914,"y":4638.781207067901},{"x":7461.593936484394,"y":4979.6351408023875},{"x":9005.220402315392,"y":6576.241646929161},{"x":8729.190936714167,"y":7801.615709393598},{"x":8160.689815848232,"y":8025.229828532506},{"x":5882.049143527765,"y":8341.121683619602},{"x":3687.8983741759953,"y":9031.439730806422},{"x":1403.7132855619766,"y":9024.268198818525},{"x":887.2037200703453,"y":6688.410269046134},{"x":1347.3279157997608,"y":5802.836654493385},{"x":975.123658093069,"y":2680.4254986513183},{"x":2921.976748701473,"y":5454.165910721468},{"x":5661.13481521215,"y":4990.583770859028},{"x":6121.2257542857005,"y":549.9341833209908},{"x":8911.615720611486,"y":630.5011828076497}]
35871.644487	372961300	35871.644487	1.000000	4000000	[{"x":466.779509789962,"y":7622.802042874435},{"x":1742.7448730383658,"y":4894.598592134713},{"x":1931.1986695462833,"y":3207.3423255385133},{"x":177.95350627722496,"y":1341.473859179812},{"x":4521.288917257538,"y":699.6053007109011},{"x":4763.727186906196,"y":380.2583395811367},{"x":6591.014778109582,"y":650.300990022247},{"x":6891.034820601699,"y":358.1018182622616},{"x":7886.558100994547,"y":2832.3609756509773},{"x":8226.628403650608,"y":5295.840381104033},{"x":8051.598499234901,"y":6133.850942670403},{"x":8722.216848820064,"y":8503.325666689321},{"x":6213.253886346723,"y":8321.647026948813},{"x":6530.552934546619,"y":6701.808803626226},{"x":6036.94496444249,"y":5244.197820730775},{"x":5746.377274813177,"y":5268.063428809233},{"x":4475.113055148221,"y":4636.477345278086},{"x":2751.0676842368975,"y":4436.972660142055}]
37542.731810	1720484000	37542.731810	1.000000	4000900	[{"x":669.5598273809394,"y":9422.620636045544},{"x":2601.1531345312933,"y":6067.34644653054},{"x":807.5133010915785,"y":3149.5170562349886},{"x":4510.717894985872,"y":2436.130117736608},{"x":3951.80645907018,"y":3158.195648526834},{"x":4159.677545325678,"y":3794.229909797137},{"x":4778.861318922171,"y":3873.567821232027},{"x":6933.526927938745,"y":3780.219866012657},{"x":7340.218441725894,"y":1715.8854720866645},{"x":9666.98587363167,"y":2634.2702503550854},{"x":8217.319380160445,"y":6408.979194661168},{"x":9132.940547087486,"y":8154.389181592626},{"x":8698.287212655996,"y":8554.242608346693},{"x":7922.691906236312,"y":8324.094883723508},{"x":7132.500898590905,"y":7386.9951435228895},{"x":6171.135666861345,"y":9109.196949443058},{"x":5327.612404562656,"y":7749.519915828276},{"x":3631.79807711692,"y":7432.517320698244}]
35666.273973	120692300	35666.273973	1.000000	2000100	[{"x":8072.555483732487,"y":8279.159355144666},{"x":5918.164545092399,"y":9072.221137559129},{"x":2503.228519444272,"y":4469.479306817527},{"x":638.6945787651533,"y":5259.519126395825},{"x":3.894930470647646,"y":4814.723411133594},{"x":120.17640159879029,"y":3115.12861477442},{"x":265.36831759460784,"y":1545.4001470767062},{"x":3424.397131787559,"y":2781.086061905255},{"x":3346.959719890657,"y":2035.6771052418515},{"x":3370.735958514418,"y":706.4247566018653},{"x":5869.313538094245,"y":1130.9608789471056},{"x":5975.488597397576,"y":875.3000321563371},{"x":6985.243201759854,"y":932.6202047798671},{"x":9144.261846410333,"y":1164.427596538654},{"x":6289.801189759963,"y":4301.793942781227},{"x":7213.808262733603,"y":6427.204683116883},{"x":8105.444868384094,"y":6297.398496643691},{"x":8916.413527640423,"y":6874.544762932075}]
38124.711536	208289200	38124.711536	1.000000	5001200	[{"x":9880.96708273311,"y":9056.335424398274},{"x":6431.429596518192,"y":6543.0581907842625},{"x":5718.541274722499,"y":4475.10676355736},{"x":4132.604320723904,"y":5687.9231755954},{"x":5260.903464587939,"y":8253.749045738115},{"x":4926.476774673067,"y":8294.402309293097},{"x":3017.5842112602622,"y":9756.535587288678},{"x":1963.5061329558991,"y":9752.00437591677},{"x":1072.2209611961832,"y":6261.4458355425395},{"x":1038.5178839562896,"y":4048.804692878803},{"x":2657.6087339424644,"y":1042.429902209723},{"x":3514.6996058420273,"y":472.67277055412234},{"x":3661.0060796046155,"y":1278.9207075190297},{"x":4461.136660916863,"y":1136.6426881180428},{"x":8120.15598560183,"y":2886.1198741196226},{"x":9503.49139858308,"y":3759.2594654955824},{"x":9161.174300875156,"y":4101.436091916452},{"x":9428.17175407935,"y":5715.18745095717}]
35081.251044	1067773200	35081.251044	1.000000	1999900	[{"x":819.6618663761309,"y":9637.327762891342},{"x":2294.8135814980064,"y":7224.046297874891},{"x":2856.4436646274467,"y":6622.486382188517},{"x":2989.373158668436,"y":5146.11289341065},{"x":3388.584847453998,"y":3064.199737584052},{"x":2027.8933131962585,"y":1207.3423520121712},{"x":2847.4839766723153,"y":613.9432033837857},{"x":2945.065811698219,"y":1008.457045319825},{"x":5115.214559038507,"y":2857.749239436799},{"x":5138.819306016977,"y":3519.6807181534573},{"x":8467.250023715018,"y":2113.9041914675972},{"x":8292.14227407764,"y":6824.214731253838},{"x":8896.148190002647,"y":7336.450293089511},{"x":8621.090109400726,"y":7648.41248461296},{"x":7774.250551278587,"y":9556.50578160359},{"x":6115.490082209943,"y":7995.555119651242},{"x":6225.365241266331,"y":7264.937384988597},{"x":2411.6060692571427,"y":9318.624623446723}]
36830.717950	2342818700	36830.717950	1.000000	9001200	[{"x":725.1503975372174,"y":615.935352323888},{"x":3145.2952580872807,"y":410.2568272381807},{"x":7258.779663275583,"y":641.0957218891157},{"x":7458.253141273095,"y":1318.389331490734},{"x":8884.608262274904,"y":1979.4509780708445},{"x":8615.819639526111,"y":3568.1608871790754},{"x":7570.519224144719,"y":2758.47238641683},{"x":6039.520360267239,"y":3059.873603798775},{"x":5684.712860517891,"y":4726.641190355093},{"x":6423.103963553371,"y":5193.426670435198},{"x":7888.5265972232355,"y":5049.31922262714},{"x":9016.038045155956,"y":6567.500988375734},{"x":5792.281617129023,"y":7144.204304632085},{"x":5334.7237258945515,"y":6927.093820557674},{"x":5153.524584143915,"y":6002.650717422177},{"x":3808.312922207046,"y":7098.382112664705},{"x":2136.091315291102,"y":9028.250320812624},{"x":1081.3164777700697,"y":4784.591552147502}]
