num_vertices	heap_mc_len	heap_mc_nanos	gready_len	gready_len_perc	greedy_nanos	
15	40569.358295	509300	42283.167934	0.959468	0
15	33129.095794	0	33129.095794	1.000000	0
15	33129.095794	994300	33129.095794	1.000000	0
15	32280.236920	0	32419.397173	0.995708	0
15	32280.236920	0	32419.397173	0.995708	0
15	32280.236920	0	32419.397173	0.995708	1000500
15	33517.699283	1001100	33656.176161	0.995886	0
15	30448.883896	999400	32697.932630	0.931217	0
15	38442.250074	0	38574.851036	0.996563	0
15	38442.250074	0	38574.851036	0.996563	0
15	38442.250074	1000200	38574.851036	0.996563	0
15	27608.583050	0	27608.583050	1.000000	0
15	27608.583050	1000000	27608.583050	1.000000	0
15	35229.894664	3001400	35229.894664	1.000000	0
15	33108.738078	999900	33108.738078	1.000000	0
15	27882.615266	0	27893.091172	0.999624	0
15	27882.615266	0	27893.091172	0.999624	0
15	27882.615266	1000100	27893.091172	0.999624	0
15	33261.144548	0	36201.890713	0.918768	0
15	33261.144548	1000200	36201.890713	0.918768	0
15	35251.628421	0	35251.628421	1.000000	0
15	35251.628421	1000200	35251.628421	1.000000	0
15	30223.267422	0	30223.267422	1.000000	0
15	30223.267422	0	30223.267422	1.000000	0
15	30223.267422	1000100	30223.267422	1.000000	0
15	35292.669424	0	35292.669424	1.000000	0
15	35292.669424	0	35292.669424	1.000000	0
15	35292.669424	0	35292.669424	1.000000	0
15	35292.669424	0	35292.669424	1.000000	1000400
15	34481.644316	3000800	35337.257408	0.975787	0
15	40236.752091	0	40236.752091	1.000000	0
15	40236.752091	0	40236.752091	1.000000	0
15	40236.752091	0	40236.752091	1.000000	0
15	40236.752091	0	40236.752091	1.000000	0
15	36615.246733	1001000	37557.799630	0.974904	0
15	39839.879408	999200	40228.675494	0.990335	0
15	34660.812335	1000200	35295.374574	0.982021	0
15	32917.007227	0	32917.007227	1.000000	0
15	32917.007227	0	32917.007227	1.000000	0
15	32917.007227	0	32917.007227	1.000000	0
15	32917.007227	0	32917.007227	1.000000	0
15	32917.007227	1017200	32917.007227	1.000000	0
15	36029.527931	0	36431.295141	0.988972	0
15	36029.527931	989000	36431.295141	0.988972	0
15	38921.371912	999600	38921.371912	1.000000	0
15	37696.746941	1000600	38870.094862	0.969814	0
15	30631.401227	999600	30715.937004	0.997248	0
15	32037.704559	0	32298.272205	0.991932	0
15	32037.704559	0	32298.272205	0.991932	0
15	32037.704559	1000200	32298.272205	0.991932	0
15	36662.630805	1000300	36662.630805	1.000000	0
15	34081.039605	999800	34081.039605	1.000000	0
15	32807.278794	0	32807.278794	1.000000	0
15	32807.278794	0	32807.278794	1.000000	0
15	33318.434666	0	33468.122257	0.995527	0
15	33318.434666	0	33468.122257	0.995527	0
15	33318.434666	1000400	33468.122257	0.995527	0
15	34204.500205	0	34204.500205	1.000000	0
15	34204.500205	982300	34204.500205	1.000000	0
15	38135.695991	8997300	38233.147725	0.997451	0
15	32684.040701	0	32684.040701	1.000000	0
15	32684.040701	0	32684.040701	1.000000	0
15	32684.040701	0	32684.040701	1.000000	0
15	32684.040701	0	32684.040701	1.000000	1001700
15	32921.045843	0	32921.045843	1.000000	0
15	32921.045843	0	32921.045843	1.000000	0
15	32921.045843	999300	32921.045843	1.000000	0
15	33769.199737	1008800	34081.379453	0.990840	0
15	34841.101285	994600	34841.101285	1.000000	0
15	31810.136148	0	31810.136148	1.000000	0
15	31810.136148	1000200	31810.136148	1.000000	0
15	40113.536564	999600	40113.536564	1.000000	0
15	27596.714913	0	27596.714913	1.000000	0
15	27596.714913	1000200	27596.714913	1.000000	0
15	24791.933829	1000900	24791.933829	1.000000	0
15	28396.630078	0	28396.630078	1.000000	0
15	28396.630078	0	28396.630078	1.000000	0
15	28396.630078	999600	28396.630078	1.000000	0
15	32934.003976	0	32934.003976	1.000000	0
15	32934.003976	0	32934.003976	1.000000	0
15	32934.003976	0	32934.003976	1.000000	0
15	32934.003976	0	32934.003976	1.000000	0
15	32934.003976	1001600	32934.003976	1.000000	0
20	40336.329508	355889600	40600.606731	0.993491	0
20	38529.683617	14004200	38529.683617	1.000000	999400
20	39469.096028	76019900	39777.260531	0.992253	0
20	37575.894556	22019400	37584.527969	0.999770	0
20	39470.800691	27005800	39689.373894	0.994493	0
20	40208.469118	33007600	41798.287944	0.961964	0
20	37376.831128	20005600	39270.540543	0.951778	0
20	36019.545306	27772300	36962.429313	0.974491	0
20	35658.694373	147034100	36601.546271	0.974240	0
20	36116.923563	21004400	36116.923563	1.000000	0
20	41628.497762	5715100	42533.784009	0.978716	0
20	32185.065749	9997900	32185.065749	1.000000	0
20	37128.583982	27520400	37128.583982	1.000000	0
20	38807.935056	2000000	38807.935056	1.000000	0
