num_vertices	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_len	greedy_perc	greedy_nanos	
100	84066.798460	1.000000	3000100	84066.798460	1.000000	999800	
100	84776.947660	1.000000	2002200	85028.789989	0.997038	510200	
100	87470.859617	1.000000	2995200	87515.623496	0.999489	0	
100	86437.431380	1.000000	3000400	86437.431380	1.000000	1000400	
100	84248.126009	1.000000	2000100	84262.307337	0.999832	1000400	
100	82941.577060	1.000000	2996900	83266.910333	0.996093	0	
100	88527.341057	1.000000	2000400	88527.341057	1.000000	1000300	
100	88372.243843	1.000000	2000400	88533.890676	0.998174	0	
100	84444.148214	1.000000	3001900	84444.148214	1.000000	0	
100	81937.120238	1.000000	2999400	81937.120238	1.000000	0	
100	85616.760637	1.000000	2000700	86069.224805	0.994743	1000400	
100	85481.870045	1.000000	3001100	85690.261352	0.997568	0	
100	83780.244837	1.000000	2000500	83786.152492	0.999929	0	
100	82197.605165	1.000000	3000000	82197.605165	1.000000	0	
200	116136.852195	1.000000	12006100	116136.852195	1.000000	1000300	
200	118007.210067	1.000000	9824000	118007.210067	1.000000	0	
200	113470.054994	1.000000	11003100	113470.054994	1.000000	999400	
200	120411.611655	1.000000	12691500	120411.611655	1.000000	1000200	
200	113979.390064	1.000000	13006600	114230.894357	0.997798	999500	
200	114683.968859	1.000000	13003200	115298.099570	0.994674	1000100	
200	118121.673157	1.000000	11005400	118121.673157	1.000000	1000300	
200	120000.064181	1.000000	10509500	120125.305245	0.998957	1000400	
200	120429.955976	1.000000	13002100	120607.918333	0.998524	1000100	
200	116674.630505	1.000000	13002800	116674.630505	1.000000	1000400	
200	116662.001838	1.000000	13003100	116697.737568	0.999694	1000500	
200	120940.410996	1.000000	12007100	121321.729973	0.996857	1000500	
200	121100.240854	1.000000	11002700	121100.240854	1.000000	1999500	
200	120943.924364	1.000000	9916100	120943.924364	1.000000	1000300	
200	118499.205463	1.000000	10002500	118516.556474	0.999854	999900	
200	116016.221556	1.000000	11006700	116016.221556	1.000000	510400	
200	116941.976698	1.000000	14505600	117462.865437	0.995566	999300	
200	119186.942480	1.000000	12002200	119186.942480	1.000000	1000200	
200	117599.378831	1.000000	12003500	117614.152361	0.999874	999800	
200	117532.323074	1.000000	12303000	117668.555226	0.998842	999900	
200	119933.506437	1.000000	14003900	120711.543824	0.993555	1001000	
200	115098.572821	1.000000	15002200	115098.572821	1.000000	1000400	
200	124400.817731	1.000000	18002800	124400.817731	1.000000	1000200	
200	111569.204131	1.000000	13002500	111569.204131	1.000000	1000000	
200	118660.286639	1.000000	13487800	118756.081368	0.999193	999600	
200	119916.513029	1.000000	13091000	119916.513029	1.000000	1002500	
200	118894.096024	1.000000	12513400	118894.096024	1.000000	1000900	
200	118611.092676	1.000000	10001900	118794.754670	0.998454	1000800	
200	121410.932209	1.000000	10002300	121410.932209	1.000000	1000400	
200	116960.880322	1.000000	10518100	116960.880322	1.000000	1001200	
200	119291.393125	1.000000	12002000	120057.286407	0.993621	1000600	
200	119349.454621	1.000000	10511600	119349.454621	1.000000	999700	
200	119954.967510	1.000000	11002700	119954.967510	1.000000	1003300	
200	120855.328248	1.000000	10551800	120855.328248	1.000000	986600	
200	123740.038545	1.000000	11260400	124556.688354	0.993444	999900	
200	117425.240864	1.000000	14201600	117425.240864	1.000000	998900	
200	125250.730964	1.000000	10006400	125250.730964	1.000000	1001200	
200	121850.452738	1.000000	9001400	121850.452738	1.000000	1000400	
200	122880.460356	1.000000	9001900	122880.460356	1.000000	1000200	
200	123459.065583	1.000000	12005500	123459.065583	1.000000	0	
200	117229.693121	1.000000	10002900	117229.693121	1.000000	1000200	
200	121574.053093	1.000000	13003500	121574.053093	1.000000	999300	
200	119122.542739	1.000000	11002300	119122.542739	1.000000	1000600	
200	119454.546575	1.000000	10745300	119454.546575	1.000000	1000800	
200	117459.698663	1.000000	10005100	117935.019902	0.995970	1000800	
200	120212.004437	1.000000	13466500	120217.963524	0.999950	999500	
200	119104.845293	1.000000	12550900	119104.845293	1.000000	1000200	
200	118325.683187	1.000000	13509500	118325.683187	1.000000	999800	
200	120862.095693	1.000000	10510000	120996.663300	0.998888	999800	
200	114333.598536	1.000000	13002200	115310.783875	0.991526	999900	
200	119478.198297	1.000000	11002500	119478.198297	1.000000	1000200	
200	116688.345775	1.000000	12002700	116694.023608	0.999951	1000400	
200	117694.013110	1.000000	13002400	117694.013110	1.000000	1001500	
200	114671.926587	1.000000	11796100	115035.196809	0.996842	1001700	
200	124240.336500	1.000000	10000900	124437.317879	0.998417	1001100	
200	119565.399181	1.000000	11009500	119629.053221	0.999468	995500	
200	120524.758727	1.000000	9509000	120600.165355	0.999375	1000300	
200	122235.754710	1.000000	14509400	122235.754710	1.000000	1001500	
200	116310.025340	1.000000	14001800	116600.121420	0.997512	1000500	
200	119865.800734	1.000000	12002500	119865.800734	1.000000	999900	
200	121007.280624	1.000000	17003700	121007.280624	1.000000	1000400	
200	117037.660707	1.000000	14003200	117037.660707	1.000000	1000400	
200	118211.858727	1.000000	13002400	118394.932702	0.998454	1000200	
200	119740.079956	1.000000	10002800	119740.079956	1.000000	999800	
200	117403.550428	1.000000	11830700	117403.550428	1.000000	1001800	
200	117318.574634	1.000000	11001200	117494.559554	0.998502	999900	
200	120186.371490	1.000000	9002100	120186.371490	1.000000	999700	
200	115817.770642	1.000000	13003200	115817.770642	1.000000	1000600	
200	120515.779379	1.000000	12002200	120515.779379	1.000000	1000900	
200	125952.539761	1.000000	11001700	125952.539761	1.000000	1000600	
200	113137.892349	1.000000	12006800	113137.892349	1.000000	1000200	
200	119192.631903	1.000000	9005100	119213.318686	0.999826	1000800	
200	115306.994911	1.000000	12003300	115306.994911	1.000000	999700	
200	117716.372292	1.000000	11006500	117716.372292	1.000000	1001500	
200	116366.664279	1.000000	10981100	116366.664279	1.000000	1000400	
200	122777.236758	1.000000	10002500	122843.474877	0.999461	999700	
200	119488.740817	1.000000	12002300	120157.736511	0.994432	1000500	
200	119417.932785	1.000000	13002700	119417.932785	1.000000	1000700	
200	115162.661537	1.000000	11002000	115418.849052	0.997780	1000300	
200	120675.911008	1.000000	11003000	120675.911008	1.000000	1000600	
200	119203.912795	1.000000	12002100	121751.202856	0.979078	545000	
200	116524.379284	1.000000	12005100	116580.799692	0.999516	999600	
200	122203.321179	1.000000	13003200	122467.072416	0.997846	1000200	
200	116964.011662	1.000000	10004800	116964.011662	1.000000	1000300	
200	111949.475269	1.000000	10509600	111949.475269	1.000000	1000700	
200	117710.179379	1.000000	13001600	120110.534360	0.980015	1000300	
200	113839.199625	1.000000	11002700	113839.199625	1.000000	1000400	
200	116543.508394	1.000000	9001500	116543.508394	1.000000	1589800	
200	119314.569206	1.000000	9998400	119314.569206	1.000000	1515000	
200	118860.725965	1.000000	9993500	118860.725965	1.000000	999700	
200	115700.579028	1.000000	10003900	116872.820705	0.989970	999700	
200	120225.884382	1.000000	12005100	120225.884382	1.000000	999500	
200	119809.980377	1.000000	11002100	119809.980377	1.000000	1000200	
200	119497.733543	1.000000	11007600	119497.733543	1.000000	1000700	
200	126843.971492	1.000000	11509100	126896.778909	0.999584	999500	
200	125884.617327	1.000000	11298400	125884.617327	1.000000	1000700	
200	117919.975225	1.000000	12100500	118961.259789	0.991247	1000100	
200	119267.257285	1.000000	14003500	119267.257285	1.000000	1000200	
200	121183.788629	1.000000	13005700	121183.788629	1.000000	1000600	
200	117236.839417	1.000000	11003900	117236.839417	1.000000	1000100	
300	147453.973392	1.000000	26010500	147453.973392	1.000000	1999900	
300	142241.735185	1.000000	25516500	143401.114849	0.991915	2000300	
300	148096.760119	1.000000	28514400	148096.760119	1.000000	1999500	
300	143156.661819	1.000000	30514000	143156.661819	1.000000	3000800	
300	145741.050192	1.000000	22510900	145741.050192	1.000000	2000200	
300	142549.506612	1.000000	26101900	142549.506612	1.000000	2000300	
300	151624.473346	1.000000	20514100	151624.473346	1.000000	2000500	
300	144582.619406	1.000000	21529300	144582.619406	1.000000	2000400	
300	152693.901364	1.000000	21004700	152789.777931	0.999372	2001700	
300	148012.957788	1.000000	19678900	148012.957788	1.000000	2000100	
300	145080.205769	1.000000	27016100	145080.205769	1.000000	1993800	
300	146514.294621	1.000000	29547500	146514.294621	1.000000	2000300	
300	146276.425880	1.000000	24513000	146276.425880	1.000000	2001600	
300	148721.815588	1.000000	24004000	148888.601725	0.998880	2001200	
300	152057.587244	1.000000	33007300	152192.885202	0.999111	3000000	
300	143163.985277	1.000000	30517500	143163.985277	1.000000	2000100	
300	142293.846459	1.000000	23510900	142293.846459	1.000000	2000800	
300	149484.743998	1.000000	30006800	150119.715181	0.995770	2000200	
300	144551.028852	1.000000	27018100	144551.028852	1.000000	1991700	
300	146285.206410	1.000000	22008900	146285.206410	1.000000	2000200	
300	149935.387354	1.000000	26018300	150901.711067	0.993596	2000900	
300	147067.472865	1.000000	45010600	147190.051275	0.999167	3000200	
