num_vertices	heap_mc_len	heap_mc_perc	heap_mc_nanos	heap_limited_len	heap_limited_perc	heap_limited_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	
10	23960.622417	1.000000	0	23960.622417	1.000000	0	23960.622417	1.000000	0	23960.622417	1.000000	503100	23960.622417	1.000000	0	23960.622417	1.000000	0	
10	26914.031427	1.000000	0	26914.031427	1.000000	0	27322.460288	0.985052	0	27322.460288	0.985052	0	27470.067446	0.979758	0	27322.460288	0.985052	0	
10	26914.031427	1.000000	0	26914.031427	1.000000	0	27322.460288	0.985052	0	27322.460288	0.985052	0	27470.067446	0.979758	503700	27322.460288	0.985052	9700	
10	32989.150132	1.000000	0	32989.150132	1.000000	0	33033.626910	0.998654	0	32989.150132	1.000000	0	33048.578400	0.998202	0	32989.150132	1.000000	0	
10	32989.150132	1.000000	510700	32989.150132	1.000000	0	33033.626910	0.998654	0	32989.150132	1.000000	0	33048.578400	0.998202	0	32989.150132	1.000000	0	
10	24790.708583	1.000000	0	24790.708583	1.000000	0	24790.708583	1.000000	0	24790.708583	1.000000	0	24790.708583	1.000000	0	24790.708583	1.000000	0	
10	24790.708583	1.000000	510000	24790.708583	1.000000	0	24790.708583	1.000000	0	24790.708583	1.000000	0	24790.708583	1.000000	0	24790.708583	1.000000	0	
10	27019.899822	1.000000	0	27019.899822	1.000000	0	27019.899822	1.000000	0	27019.899822	1.000000	510100	27019.899822	1.000000	0	27019.899822	1.000000	0	
10	34449.083307	1.000000	0	34449.083307	1.000000	0	34449.083307	1.000000	0	34449.083307	1.000000	0	34449.083307	1.000000	0	34449.083307	1.000000	0	
10	34449.083307	1.000000	0	34449.083307	1.000000	0	34449.083307	1.000000	0	34449.083307	1.000000	510000	34449.083307	1.000000	0	34449.083307	1.000000	0	
10	25612.852630	1.000000	0	25612.852630	1.000000	0	25612.852630	1.000000	0	25612.852630	1.000000	0	25612.852630	1.000000	0	25612.852630	1.000000	511800	
10	24962.076298	1.000000	0	24962.076298	1.000000	0	24962.076298	1.000000	0	24962.076298	1.000000	0	24962.076298	1.000000	0	24962.076298	1.000000	0	
10	24962.076298	1.000000	514000	24962.076298	1.000000	0	24962.076298	1.000000	0	24962.076298	1.000000	0	24962.076298	1.000000	0	24962.076298	1.000000	0	
10	30819.878840	1.000000	0	30819.878840	1.000000	0	30819.878840	1.000000	0	30819.878840	1.000000	0	30819.878840	1.000000	0	30819.878840	1.000000	0	
10	30819.878840	1.000000	0	30819.878840	1.000000	0	30819.878840	1.000000	0	30819.878840	1.000000	0	30819.878840	1.000000	0	30819.878840	1.000000	0	
10	26608.642210	1.000000	0	26608.642210	1.000000	0	26608.642210	1.000000	0	26608.642210	1.000000	0	26608.642210	1.000000	0	26608.642210	1.000000	0	
10	26608.642210	1.000000	512500	26608.642210	1.000000	0	26608.642210	1.000000	0	26608.642210	1.000000	0	26608.642210	1.000000	0	26608.642210	1.000000	0	
10	25980.311802	1.000000	516000	25980.311802	1.000000	0	25980.311802	1.000000	0	25980.311802	1.000000	0	25980.311802	1.000000	0	25980.311802	1.000000	0	
10	30641.569563	1.000000	0	30641.569563	1.000000	0	30641.569563	1.000000	0	30641.569563	1.000000	7700	30641.569563	1.000000	0	30641.569563	1.000000	0	
11	27006.661501	1.000000	0	27006.661501	1.000000	0	27006.661501	1.000000	0	27006.661501	1.000000	0	27006.661501	1.000000	0	27006.661501	1.000000	0	
11	27006.661501	1.000000	0	27006.661501	1.000000	0	27006.661501	1.000000	0	27006.661501	1.000000	7500	27006.661501	1.000000	0	27006.661501	1.000000	0	
11	32830.460729	1.000000	0	33030.290147	0.993950	510100	33570.592316	0.977953	0	32830.460729	1.000000	0	33570.592316	0.977953	0	32830.460729	1.000000	0	
11	38480.031660	1.000000	0	38480.031660	1.000000	0	38480.031660	1.000000	0	38480.031660	1.000000	0	38480.031660	1.000000	0	38480.031660	1.000000	512200	
11	36335.274124	1.000000	0	36335.274124	1.000000	0	36817.817311	0.986894	0	36335.274124	1.000000	0	36817.817311	0.986894	0	36335.274124	1.000000	0	
11	36335.274124	1.000000	510300	36335.274124	1.000000	0	36817.817311	0.986894	0	36335.274124	1.000000	0	36817.817311	0.986894	0	36335.274124	1.000000	0	
11	32109.884567	1.000000	517000	32246.560295	0.995762	0	32109.884567	1.000000	0	32109.884567	1.000000	0	32109.884567	1.000000	0	32109.884567	1.000000	0	
11	27357.299825	1.000000	0	27357.299825	1.000000	0	27566.168580	0.992423	0	27357.299825	1.000000	0	28111.370148	0.973176	0	27357.299825	1.000000	7600	
11	23825.310764	1.000000	0	23825.310764	1.000000	0	23825.310764	1.000000	0	23825.310764	1.000000	0	23825.310764	1.000000	0	23825.310764	1.000000	0	
11	23825.310764	1.000000	0	23825.310764	1.000000	0	23825.310764	1.000000	0	23825.310764	1.000000	0	23825.310764	1.000000	0	23825.310764	1.000000	0	
11	25145.296149	1.000000	0	25145.296149	1.000000	0	25145.296149	1.000000	0	25145.296149	1.000000	0	25145.296149	1.000000	0	25145.296149	1.000000	502800	
11	33992.974732	1.000000	0	33992.974732	1.000000	0	33992.974732	1.000000	0	33992.974732	1.000000	515000	33992.974732	1.000000	0	33992.974732	1.000000	0	
11	31220.922822	1.000000	0	31220.922822	1.000000	0	31233.210865	0.999607	0	31233.210865	0.999607	0	31233.210865	0.999607	0	31233.210865	0.999607	11700	
11	34983.834429	1.000000	0	34983.834429	1.000000	0	34983.834429	1.000000	0	34983.834429	1.000000	0	34983.834429	1.000000	0	34983.834429	1.000000	0	
11	34983.834429	1.000000	510000	34983.834429	1.000000	0	34983.834429	1.000000	0	34983.834429	1.000000	0	34983.834429	1.000000	0	34983.834429	1.000000	0	
11	20633.133473	1.000000	0	20633.133473	1.000000	511500	20633.133473	1.000000	0	20633.133473	1.000000	0	20633.133473	1.000000	0	20633.133473	1.000000	0	
11	29397.635520	1.000000	0	29911.788605	0.982811	510000	29397.635520	1.000000	0	29397.635520	1.000000	0	29397.635520	1.000000	0	29397.635520	1.000000	0	
11	27362.409141	1.000000	0	27362.409141	1.000000	0	27362.409141	1.000000	0	27362.409141	1.000000	0	27362.409141	1.000000	0	27362.409141	1.000000	510200	
11	33213.811261	1.000000	0	33213.811261	1.000000	0	33213.811261	1.000000	0	33213.811261	1.000000	0	33213.811261	1.000000	0	33213.811261	1.000000	0	
11	33213.811261	1.000000	502700	33213.811261	1.000000	0	33213.811261	1.000000	0	33213.811261	1.000000	0	33213.811261	1.000000	0	33213.811261	1.000000	0	
11	27625.372676	1.000000	0	27625.372676	1.000000	0	27625.372676	1.000000	0	27625.372676	1.000000	0	27625.372676	1.000000	0	27625.372676	1.000000	0	
11	28321.708836	1.000000	0	28321.708836	1.000000	0	28417.074099	0.996644	0	28417.074099	0.996644	0	28417.901856	0.996615	0	28417.074099	0.996644	0	
11	28321.708836	1.000000	0	28321.708836	1.000000	0	28417.074099	0.996644	0	28417.074099	0.996644	0	28417.901856	0.996615	0	28417.074099	0.996644	0	
11	28321.708836	1.000000	0	28321.708836	1.000000	995400	28417.074099	0.996644	0	28417.074099	0.996644	0	28417.901856	0.996615	0	28417.074099	0.996644	0	
11	29588.956442	1.000000	0	30315.273428	0.976041	0	29588.956442	1.000000	0	29588.956442	1.000000	0	29588.956442	1.000000	0	29588.956442	1.000000	0	
11	29588.956442	1.000000	0	30315.273428	0.976041	0	29588.956442	1.000000	0	29588.956442	1.000000	0	29588.956442	1.000000	0	29588.956442	1.000000	0	
11	29588.956442	1.000000	0	30315.273428	0.976041	0	29588.956442	1.000000	0	29588.956442	1.000000	0	29588.956442	1.000000	0	29588.956442	1.000000	1010300	
11	25678.917377	1.000000	0	25678.917377	1.000000	0	25678.917377	1.000000	0	25678.917377	1.000000	0	25678.917377	1.000000	0	25678.917377	1.000000	0	
11	25678.917377	1.000000	0	25678.917377	1.000000	0	25678.917377	1.000000	0	25678.917377	1.000000	503400	25678.917377	1.000000	0	25678.917377	1.000000	0	
11	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	
11	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	
11	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	0	29979.711541	1.000000	978400	
11	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	
11	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	
11	29221.826925	1.000000	0	29221.826925	1.000000	1000800	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	29221.826925	1.000000	0	
11	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	
11	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	
