num_vertices	heap_mc_len	heap_mc_perc	heap_mc_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	
10	19536.847745	1.000000	0	19536.847745	1.000000	0	19536.847745	1.000000	0	19536.847745	1.000000	514900	19536.847745	1.000000	0	
10	28763.641085	1.000000	0	29039.368673	0.990505	0	29039.368673	0.990505	0	29372.840641	0.979260	0	29039.368673	0.990505	0	
10	28763.641085	1.000000	509700	29039.368673	0.990505	0	29039.368673	0.990505	0	29372.840641	0.979260	0	29039.368673	0.990505	0	
10	29352.353597	1.000000	516900	29444.986037	0.996854	0	29352.353597	1.000000	0	29502.412860	0.994914	0	29352.353597	1.000000	0	
10	24549.494673	1.000000	0	24782.811578	0.990586	0	24782.811578	0.990586	0	25401.743560	0.966449	0	24782.811578	0.990586	0	
10	24549.494673	1.000000	513400	24782.811578	0.990586	0	24782.811578	0.990586	0	25401.743560	0.966449	0	24782.811578	0.990586	0	
10	31197.235746	1.000000	0	31197.235746	1.000000	0	31197.235746	1.000000	0	31197.235746	1.000000	0	31197.235746	1.000000	0	
10	31197.235746	1.000000	0	31197.235746	1.000000	0	31197.235746	1.000000	0	31197.235746	1.000000	0	31197.235746	1.000000	511200	
10	33350.631640	1.000000	0	33350.631640	1.000000	0	33350.631640	1.000000	0	33350.631640	1.000000	0	33350.631640	1.000000	0	
10	33350.631640	1.000000	0	33350.631640	1.000000	0	33350.631640	1.000000	510400	33350.631640	1.000000	0	33350.631640	1.000000	0	
10	25877.477375	1.000000	0	26065.981196	0.992768	0	26065.981196	0.992768	0	26615.386167	0.972275	0	26065.981196	0.992768	0	
10	25877.477375	1.000000	502800	26065.981196	0.992768	0	26065.981196	0.992768	0	26615.386167	0.972275	0	26065.981196	0.992768	0	
