num_vertices	np_heap_len	np_heap_perc	np_heap_nanos	greedy_len	greedy_perc	greedy_nanos	
7	18698.139292	1.000000	7000900	18698.139292	1.000000	0	
7	35726.496779	1.000000	5001000	35726.496779	1.000000	0	
7	35850.944224	1.000000	7002400	35850.944224	1.000000	0	
7	25688.604539	1.000000	6000800	25849.472942	0.993777	0	
7	32772.997673	1.000000	4000900	33834.461332	0.968628	0	
7	27965.055980	1.000000	5001400	27965.055980	1.000000	0	
7	24656.198315	1.000000	6001100	24656.198315	1.000000	0	
7	24116.819983	1.000000	6001600	24116.819983	1.000000	1000100	
7	35298.366197	1.000000	3000800	35298.366197	1.000000	0	
7	27305.813855	1.000000	5000900	27781.636770	0.982873	0	
7	10867.629704	1.000000	5001700	10867.629704	1.000000	999500	
7	25353.386938	1.000000	5001300	25353.386938	1.000000	0	
8	23170.802716	1.000000	23004500	23170.802716	1.000000	0	
8	21301.869145	1.000000	25005900	21301.869145	1.000000	0	
8	13753.567369	1.000000	26006000	13753.567369	1.000000	0	
8	15987.443551	1.000000	25006200	15987.443551	1.000000	0	
8	21623.824262	1.000000	55012200	21623.824262	1.000000	0	
8	19996.164114	1.000000	45009500	19996.164114	1.000000	1000200	
8	36758.520733	1.000000	59013700	36758.520733	1.000000	0	
8	21553.064218	1.000000	23005600	21553.064218	1.000000	1000700	
8	33575.010730	1.000000	34006400	33575.010730	1.000000	1000200	
8	23764.152098	1.000000	29007700	23764.152098	1.000000	0	
8	38826.352317	1.000000	24004700	38826.352317	1.000000	0	
8	38919.657135	1.000000	25005800	38919.657135	1.000000	0	
8	39944.160777	1.000000	34008400	39944.160777	1.000000	0	
8	34296.704805	1.000000	29006500	34296.704805	1.000000	0	
8	26988.834606	1.000000	29006000	26988.834606	1.000000	1000600	
8	44480.978049	1.000000	35556000	44480.978049	1.000000	0	
8	19903.413972	1.000000	39009800	19903.413972	1.000000	0	
8	21680.801616	1.000000	60012300	21680.801616	1.000000	0	
8	43223.490153	1.000000	15003300	43223.490153	1.000000	0	
8	33925.275054	1.000000	24005900	36798.227858	0.921927	0	
8	31528.544216	1.000000	37009000	31528.544216	1.000000	0	
8	41780.950874	1.000000	29005400	43491.124859	0.960678	0	
8	41688.136988	1.000000	69015400	41688.136988	1.000000	0	
8	36582.410021	1.000000	23006100	36582.410021	1.000000	0	
8	29769.699271	1.000000	32006400	30309.139865	0.982202	0	
8	22571.364550	1.000000	22005100	22571.364550	1.000000	0	
8	48775.117916	1.000000	39008800	50579.889439	0.964318	0	
8	22444.542330	1.000000	46010300	24536.284909	0.914749	0	
8	45211.446142	1.000000	54015300	45211.446142	1.000000	0	
8	47471.277860	1.000000	70012400	48829.613275	0.972182	0	
8	32962.791978	1.000000	12002700	32962.791978	1.000000	0	
8	21460.460101	1.000000	24005900	21460.460101	1.000000	0	
8	32026.534467	1.000000	34007300	35360.997811	0.905702	0	
8	28345.210491	1.000000	17004200	30611.189035	0.925975	0	
8	50379.376657	1.000000	17003300	50379.376657	1.000000	0	
8	43174.043632	1.000000	31008100	50005.335973	0.863389	1000000	
8	26315.377147	1.000000	62014700	26864.473234	0.979561	0	
8	38815.474041	1.000000	38007300	38815.474041	1.000000	0	
8	31530.481295	1.000000	43010200	31530.481295	1.000000	0	
8	25489.055002	1.000000	47010300	25489.055002	1.000000	0	
8	31529.906449	1.000000	22005300	34550.151853	0.912584	0	
8	28945.461073	1.000000	35008500	28945.461073	1.000000	0	
8	32813.391925	1.000000	39008100	32813.391925	1.000000	0	
8	25569.339929	1.000000	36538500	25569.339929	1.000000	0	
8	45792.913187	1.000000	35008000	45792.913187	1.000000	0	
8	28728.643596	1.000000	55012400	28728.643596	1.000000	0	
8	43825.663687	1.000000	39008200	45387.415139	0.965591	1000400	
8	36869.674502	1.000000	23005400	39527.903283	0.932751	0	
8	21964.928123	1.000000	20004100	21964.928123	1.000000	0	
8	36880.325981	1.000000	30007300	36880.325981	1.000000	0	
8	41571.848346	1.000000	28006200	41571.848346	1.000000	0	
8	29195.968215	1.000000	61014400	30160.043041	0.968035	0	
8	33296.159140	1.000000	29005600	33296.159140	1.000000	0	
8	42657.806258	1.000000	51011800	42657.806258	1.000000	0	
8	30953.429678	1.000000	30006300	30953.429678	1.000000	0	
8	22556.281788	1.000000	58012700	22556.281788	1.000000	1001000	
8	44096.003043	1.000000	22004600	44896.622534	0.982167	0	
8	37642.854092	1.000000	31006700	40693.978586	0.925023	0	
8	23019.255005	1.000000	12002700	26736.481481	0.860968	0	
8	27788.806118	1.000000	18003400	27788.806118	1.000000	0	
8	21198.125637	1.000000	24005400	21198.125637	1.000000	0	
8	29706.610077	1.000000	46010100	29706.610077	1.000000	0	
8	36302.485280	1.000000	10001700	36302.485280	1.000000	0	
8	34552.090200	1.000000	69016300	34552.090200	1.000000	0	
8	27835.924935	1.000000	43009500	27835.924935	1.000000	0	
8	37702.137923	1.000000	27006400	37702.137923	1.000000	0	
8	40622.537461	1.000000	27006300	40622.537461	1.000000	0	
8	39033.597297	1.000000	34008200	40049.978070	0.974622	0	
8	26829.529543	1.000000	28005600	26829.529543	1.000000	0	
8	34934.022730	1.000000	35008100	35757.012567	0.976984	0	
8	45855.232436	1.000000	24005900	45855.232436	1.000000	0	
8	20767.039724	1.000000	20004200	20767.039724	1.000000	0	
8	21153.149701	1.000000	19004600	21153.149701	1.000000	0	
8	26695.624697	1.000000	30011200	26695.624697	1.000000	1000800	
8	41882.196285	1.000000	29005900	47298.536139	0.885486	0	
8	25584.911742	1.000000	20004700	28655.903787	0.892832	0	
8	14556.011918	1.000000	32460700	14556.011918	1.000000	509500	
8	31300.730267	1.000000	43736000	31300.730267	1.000000	0	
8	28674.672251	1.000000	15002400	30273.372012	0.947191	1001200	
8	30516.671361	1.000000	38008400	34039.674020	0.896503	0	
8	30231.024279	1.000000	26005500	30231.024279	1.000000	0	
8	14031.765053	1.000000	15003500	14031.765053	1.000000	0	
8	48589.022439	1.000000	34007200	51929.603556	0.935671	0	
8	61016.058081	1.000000	52012000	63016.990828	0.968248	0	
8	38528.979344	1.000000	38008200	41290.065270	0.933130	0	
8	25158.049931	1.000000	30006600	25158.049931	1.000000	0	
8	28413.627998	1.000000	60013800	28413.627998	1.000000	0	
8	38881.105501	1.000000	20004300	38881.105501	1.000000	0	
8	29269.704959	1.000000	17003700	29269.704959	1.000000	0	
8	22979.028097	1.000000	45010200	22979.028097	1.000000	0	
8	31176.330129	1.000000	36007800	31176.330129	1.000000	0	
8	37430.139453	1.000000	48011300	39818.896327	0.940009	0	
8	29863.121932	1.000000	36008400	29863.121932	1.000000	0	
8	31857.580849	1.000000	25005200	31857.580849	1.000000	0	
8	34290.170800	1.000000	45009800	34290.170800	1.000000	0	
8	24472.641917	1.000000	27006600	27628.328478	0.885781	0	
8	24711.858802	1.000000	56012800	24711.858802	1.000000	0	
8	25134.083536	1.000000	33007600	25134.083536	1.000000	0	
8	21012.345569	1.000000	25005500	21012.345569	1.000000	0	
8	21976.129804	1.000000	39008700	21976.129804	1.000000	0	
9	34692.954979	1.000000	125566200	37794.566810	0.917935	0	
9	32911.002503	1.000000	68015700	32911.002503	1.000000	0	
9	34373.822004	1.000000	452101000	34373.822004	1.000000	0	
9	28644.557238	1.000000	114025800	28644.557238	1.000000	0	
9	17936.873530	1.000000	193043300	17936.873530	1.000000	0	
9	49411.361779	1.000000	565701100	55501.220560	0.890275	1000600	
9	29684.757940	1.000000	327074300	29684.757940	1.000000	0	
9	39182.762462	1.000000	480658600	41424.950933	0.945873	0	
9	36002.297855	1.000000	256057500	36002.297855	1.000000	0	
9	24407.824211	1.000000	214048800	24407.824211	1.000000	0	
9	23094.592513	1.000000	111024300	23094.592513	1.000000	1000800	
9	26335.479168	1.000000	223578400	26335.479168	1.000000	0	
9	31329.515206	1.000000	490110000	32630.461448	0.960131	0	
9	37731.214321	1.000000	338075900	38646.791465	0.976309	0	
9	38245.786309	1.000000	108024100	38245.786309	1.000000	0	
9	33670.970480	1.000000	310619400	34307.717316	0.981440	0	
9	30163.687750	1.000000	224051100	31278.390999	0.964362	0	
9	32236.460948	1.000000	563665100	32446.126345	0.993538	999900	
9	29812.891174	1.000000	172038700	29812.891174	1.000000	0	
9	28158.480316	1.000000	338076000	30154.948484	0.933793	0	
9	34399.931468	1.000000	427633800	34399.931468	1.000000	0	
9	36179.543978	1.000000	159046200	36179.543978	1.000000	0	
9	20298.729776	1.000000	242053600	20298.729776	1.000000	0	
9	22812.501866	1.000000	240054900	22812.501866	1.000000	0	
9	44238.941384	1.000000	386633600	46396.794684	0.953491	0	
9	37736.737022	1.000000	174039200	37736.737022	1.000000	0	
9	36905.975295	1.000000	131029500	39677.289725	0.930154	0	
9	24589.772429	1.000000	276062700	24589.772429	1.000000	0	
9	40709.397466	1.000000	165208500	40709.397466	1.000000	510300	
9	59671.951477	1.000000	104036900	59671.951477	1.000000	0	
9	33278.094352	1.000000	275630100	34896.168424	0.953632	0	
9	40220.309397	1.000000	176039300	46757.159370	0.860196	0	
9	26558.840439	1.000000	434098200	26903.274043	0.987197	0	
9	35965.952657	1.000000	283613400	39074.126723	0.920454	0	
9	31862.540052	1.000000	135030000	33871.454547	0.940690	0	
9	25468.028189	1.000000	174039600	28796.231980	0.884422	0	
9	37404.217239	1.000000	86019100	37404.217239	1.000000	0	
9	27174.149210	1.000000	262570300	27174.149210	1.000000	0	
9	30212.973873	1.000000	387087000	30212.973873	1.000000	0	
9	26513.934315	1.000000	172039200	26513.934315	1.000000	0	
9	23889.926653	1.000000	100022000	23889.926653	1.000000	0	
9	33361.769855	1.000000	281064100	34439.645968	0.968702	0	
9	30603.963403	1.000000	172038400	30603.963403	1.000000	1000600	
9	32206.847200	1.000000	326608000	32206.847200	1.000000	0	
9	43004.956812	1.000000	419094100	43004.956812	1.000000	0	
9	35878.082249	1.000000	425126800	36946.154481	0.971091	0	
9	24738.695803	1.000000	95020700	24738.695803	1.000000	0	
9	37140.229786	1.000000	123028700	40618.786583	0.914361	0	
9	36709.219428	1.000000	158033900	36709.219428	1.000000	0	
9	51950.614533	1.000000	355081800	52360.799252	0.992166	0	
9	30216.656338	1.000000	104022800	30216.656338	1.000000	0	
9	45708.564020	1.000000	131029400	47214.098331	0.968113	999900	
9	19094.574145	1.000000	145033000	19094.574145	1.000000	0	
9	48454.096298	1.000000	207046900	52057.962010	0.930772	0	
9	36281.975935	1.000000	252056000	41157.821984	0.881533	0	
9	31476.004787	1.000000	182040800	32859.752970	0.957889	0	
9	35697.215988	1.000000	163036200	37186.161691	0.959960	0	
9	6962.294752	1.000000	244586600	6962.294752	1.000000	0	
9	22369.322098	1.000000	310069400	22686.655004	0.986012	0	
9	37236.033045	1.000000	188559600	39381.420650	0.945523	0	
9	30337.202249	1.000000	315099600	30337.202249	1.000000	0	
9	39823.188211	1.000000	135544300	39823.188211	1.000000	0	
9	33771.852775	1.000000	82020100	33771.852775	1.000000	0	
9	30970.808738	1.000000	181040900	31620.473213	0.979454	0	
9	18374.254123	1.000000	197058300	18374.254123	1.000000	0	
9	47988.291480	1.000000	194977400	48196.285347	0.995684	0	
9	27717.073623	1.000000	231119500	28157.550240	0.984357	0	
9	26476.939694	1.000000	170038300	26476.939694	1.000000	0	
9	23929.394360	1.000000	128030000	23929.394360	1.000000	0	
9	26001.857805	1.000000	288055100	26001.857805	1.000000	0	
9	17311.054255	1.000000	148033500	17311.054255	1.000000	0	
9	34964.916512	1.000000	222049700	34964.916512	1.000000	1000400	
9	31097.686352	1.000000	235114900	31097.686352	1.000000	0	
9	22623.465231	1.000000	97021100	22623.465231	1.000000	0	
9	24545.295247	1.000000	127029000	24676.914477	0.994666	0	
9	24953.228929	1.000000	184040600	25005.625969	0.997905	0	
9	17454.920928	1.000000	209047000	17454.920928	1.000000	0	
9	48681.796715	1.000000	270597700	49639.264605	0.980711	0	
9	29089.197430	1.000000	510114500	29089.197430	1.000000	1000200	
9	26570.818887	1.000000	141032000	29505.323843	0.900543	0	
9	42708.778808	1.000000	98021900	52348.823991	0.815850	0	
9	32067.595168	1.000000	98022200	32067.595168	1.000000	0	
9	33538.995748	1.000000	696292300	33817.915577	0.991752	0	
9	15869.905200	1.000000	305120900	15869.905200	1.000000	0	
9	41490.280575	1.000000	97558000	41490.280575	1.000000	0	
9	30627.386606	1.000000	151034100	30627.386606	1.000000	0	
9	38142.777236	1.000000	337088100	39157.803487	0.974079	0	
9	41782.080040	1.000000	246054800	43949.312060	0.950688	1000200	
9	29703.947915	1.000000	105023800	29703.947915	1.000000	0	
9	47586.465088	1.000000	115025900	52304.993277	0.909788	0	
9	32826.026594	1.000000	196591800	32826.026594	1.000000	0	
9	38015.132417	1.000000	150033700	43296.255812	0.878024	0	
9	30394.951574	1.000000	203045300	30394.951574	1.000000	0	
9	18581.070716	1.000000	264059300	18581.070716	1.000000	0	
9	21858.849525	1.000000	111025100	21858.849525	1.000000	1000000	
9	33338.855843	1.000000	132717100	33338.855843	1.000000	0	
9	29995.802468	1.000000	125027600	29995.802468	1.000000	0	
9	40414.919199	1.000000	210047100	42618.910632	0.948286	0	
9	48782.400742	1.000000	423095300	48782.400742	1.000000	0	
9	29302.764933	1.000000	404629400	30320.055099	0.966448	0	
10	46918.087317	1.000000	878729600	51606.950782	0.909143	0	
10	25905.692308	1.000000	3364416800	26797.808736	0.966709	0	
10	34235.188090	1.000000	5556016700	34235.188090	1.000000	0	
10	47348.356130	1.000000	1606905800	47765.253368	0.991272	0	
10	29276.204290	1.000000	3916572600	29276.204290	1.000000	999400	
10	32943.436750	1.000000	1419837000	32943.436750	1.000000	0	
10	32446.387695	1.000000	1768494000	32446.387695	1.000000	0	
10	49099.302915	1.000000	917215100	49099.302915	1.000000	0	
10	37470.831190	1.000000	1201270400	39986.775598	0.937081	0	
10	34018.425593	1.000000	1116250400	34018.425593	1.000000	0	
10	46083.189382	1.000000	1128253700	47606.799676	0.967996	0	
10	44838.391384	1.000000	1358812300	44838.391384	1.000000	0	
10	50418.307083	1.000000	1815922500	50418.307083	1.000000	0	
10	28302.008266	1.000000	1661929200	28302.008266	1.000000	0	
10	44201.061776	1.000000	2048462600	44201.061776	1.000000	1000200	
10	40924.100446	1.000000	726163100	47744.463098	0.857149	0	
10	26911.787622	1.000000	356080000	26911.787622	1.000000	0	
10	29235.684095	1.000000	1256803500	29235.684095	1.000000	1001100	
10	20261.493577	1.000000	2420733100	23180.179741	0.874087	0	
10	27989.338693	1.000000	777174600	27989.338693	1.000000	0	
10	42472.380460	1.000000	1330959900	45715.000857	0.929069	0	
10	42553.287168	1.000000	1169808900	45397.769246	0.937343	0	
10	37689.270577	1.000000	4527558700	37795.572634	0.997187	1000200	
10	43768.910118	1.000000	690154900	43768.910118	1.000000	0	
10	33759.051302	1.000000	1043562500	35376.764330	0.954272	0	
10	31980.778570	1.000000	1591359000	31980.778570	1.000000	0	
10	47234.395788	1.000000	1080244900	47234.395788	1.000000	0	
10	42529.636649	1.000000	762170700	46972.955934	0.905407	0	
10	30600.759934	1.000000	1218274700	30600.759934	1.000000	0	
10	23259.120641	1.000000	361081200	23259.120641	1.000000	0	
10	28844.471081	1.000000	567126600	28844.471081	1.000000	0	
10	36864.214669	1.000000	2405047100	40540.518764	0.909318	0	
10	24228.504156	1.000000	1204270600	24228.504156	1.000000	1000400	
10	22830.571020	1.000000	483108400	23714.136938	0.962741	0	
10	42287.497489	1.000000	670160900	46406.707238	0.911237	0	
10	43644.959737	1.000000	823280600	43644.959737	1.000000	1000000	
10	38189.627893	1.000000	1184783800	38189.627893	1.000000	0	
10	47618.626434	1.000000	1979987600	47874.528620	0.994655	0	
10	38645.644508	1.000000	1715386700	40708.662395	0.949322	0	
10	31150.354168	1.000000	747169800	31684.777671	0.983133	0	
10	40297.411750	1.000000	2153988100	40297.411750	1.000000	0	
10	34871.334556	1.000000	1740157900	34871.334556	1.000000	0	
10	29157.533998	1.000000	1042269100	29157.533998	1.000000	47400	
10	28255.315392	1.000000	2914186500	28255.315392	1.000000	0	
10	40632.415933	1.000000	1299292000	43318.447045	0.937993	0	
10	45073.391153	1.000000	1004795700	55181.857838	0.816815	0	
10	33036.151810	1.000000	1057237500	33036.151810	1.000000	1000300	
10	53745.300837	1.000000	1772399600	53745.300837	1.000000	0	
10	30462.127530	1.000000	1426319000	30462.127530	1.000000	1000100	
10	49281.778702	1.000000	895201200	49281.778702	1.000000	0	
10	41387.076959	1.000000	1423321500	41387.076959	1.000000	0	
10	34944.416343	1.000000	3422770200	34944.416343	1.000000	0	
10	41527.510852	1.000000	1777905000	42937.145397	0.967170	0	
10	44677.009721	1.000000	1640368700	44677.009721	1.000000	0	
10	42525.561769	1.000000	1570352900	42525.561769	1.000000	0	
10	45276.533669	1.000000	1661375200	47532.033904	0.952548	0	
10	37457.271264	1.000000	1892545800	40411.052286	0.926907	0	
10	46343.445037	1.000000	2223193200	46343.445037	1.000000	0	
10	53204.584930	1.000000	893200200	53679.823661	0.991147	0	
10	47546.671633	1.000000	1573521200	54196.969312	0.877294	998500	
10	10810.394373	1.000000	668150500	10810.394373	1.000000	0	
10	46535.567128	1.000000	1149498500	46535.567128	1.000000	0	
10	30918.944591	1.000000	809181600	36239.418549	0.853185	0	
10	35805.331876	1.000000	1250281000	35805.331876	1.000000	0	
10	49425.924925	1.000000	1241280800	49425.924925	1.000000	0	
10	37031.726169	1.000000	1016065100	37031.726169	1.000000	0	
10	38700.781712	1.000000	2247664800	38700.781712	1.000000	0	
10	24096.761533	1.000000	886198600	24096.761533	1.000000	0	
10	41510.471647	1.000000	2041254900	41510.471647	1.000000	0	
10	30900.118018	1.000000	804179300	30900.118018	1.000000	0	
10	49035.727053	1.000000	2992672500	49035.727053	1.000000	0	
10	30661.946180	1.000000	2894772300	31437.990676	0.975315	0	
10	31579.494397	1.000000	2057462300	32210.639418	0.980406	0	
10	45539.261211	1.000000	1596153500	45539.261211	1.000000	0	
10	40108.351060	1.000000	1507338700	42148.932336	0.951586	0	
10	33810.370094	1.000000	1761229500	38012.159434	0.889462	0	
10	47987.009864	1.000000	2363811000	47987.009864	1.000000	0	
10	31394.006415	1.000000	1454717700	31394.006415	1.000000	0	
10	43573.754760	1.000000	2464359800	45032.670157	0.967603	0	
10	29028.651710	1.000000	1447325200	29028.651710	1.000000	0	
10	25744.918042	1.000000	866389100	25744.918042	1.000000	0	
10	31315.940699	1.000000	3238591300	31315.940699	1.000000	1000200	
10	42024.309601	1.000000	1612906600	42024.309601	1.000000	0	
10	43907.076150	1.000000	5784444200	43907.076150	1.000000	0	
10	37639.353588	1.000000	2229964800	37639.353588	1.000000	0	
10	31403.299946	1.000000	1627479300	31403.299946	1.000000	0	
10	32814.223543	1.000000	2655906000	32814.223543	1.000000	0	
10	39512.877815	1.000000	1509339400	39512.877815	1.000000	0	
10	37037.889799	1.000000	1158078100	41557.723692	0.891240	0	
10	44674.362309	1.000000	2972614500	44747.695038	0.998361	0	
10	42438.997257	1.000000	2259407100	46272.641849	0.917151	0	
10	16282.579732	1.000000	2439955000	16282.579732	1.000000	0	
10	36372.135281	1.000000	4895175800	36372.135281	1.000000	0	
10	48302.189169	1.000000	816676400	49974.458371	0.966538	1000500	
10	28651.017683	1.000000	486109000	28651.017683	1.000000	0	
10	29445.869799	1.000000	1247280500	32097.381153	0.917392	0	
10	20327.914097	1.000000	240806700	20327.914097	1.000000	1000200	
10	36418.541711	1.000000	4552538600	36418.541711	1.000000	0	
10	49716.172805	1.000000	1039224200	50450.341795	0.985448	0	
10	34405.902203	1.000000	1012227400	34405.902203	1.000000	0	
11	31636.909291	1.000000	5720793800	32951.808515	0.960096	1009100	
11	42487.477081	1.000000	9012114200	42487.477081	1.000000	999200	
11	23159.793823	1.000000	13142970100	23715.168976	0.976581	0	
11	38165.649491	1.000000	1781505900	38165.649491	1.000000	0	
11	49322.550153	1.000000	5993153400	49322.550153	1.000000	0	
11	35955.796006	1.000000	8923203500	36097.280988	0.996080	0	
11	41997.180789	1.000000	11809174900	42561.073520	0.986751	0	
11	40089.052982	1.000000	4943116800	47989.660698	0.835369	0	
11	44027.855967	1.000000	38257206400	44345.969372	0.992827	1000000	
11	54793.886271	1.000000	8144905500	56894.898560	0.963072	0	
11	36818.174192	1.000000	8841691900	37455.629874	0.982981	998800	
11	43600.256414	1.000000	15708560300	45966.167363	0.948529	0	
11	40756.590831	1.000000	35959367900	43111.739971	0.945371	0	
11	22047.972481	1.000000	3386761200	22047.972481	1.000000	0	
11	35600.572136	1.000000	5842331900	35600.572136	1.000000	0	
11	51766.343768	1.000000	9148572300	52504.137818	0.985948	0	
11	40074.380085	1.000000	10986915600	40074.380085	1.000000	0	
11	34337.281869	1.000000	8992027300	37728.415272	0.910117	0	
11	42347.737397	1.000000	14742971200	43811.896579	0.966581	0	
11	47382.872671	1.000000	24513243800	47382.872671	1.000000	1000200	
11	42619.432011	1.000000	4428284100	42619.432011	1.000000	0	
11	36593.678137	1.000000	7022736900	36921.943018	0.991109	0	
11	52715.166901	1.000000	4451122100	52715.166901	1.000000	0	
11	46990.507886	1.000000	3944238800	46990.507886	1.000000	0	
11	25368.800026	1.000000	25163970200	25368.800026	1.000000	0	
11	29304.154660	1.000000	13876450700	29991.996625	0.977066	999300	
11	38880.851847	1.000000	8822024100	38880.851847	1.000000	0	
11	21756.619678	1.000000	24223851000	21756.619678	1.000000	1000200	
11	55459.365748	1.000000	9632773900	55459.365748	1.000000	0	
11	41565.435959	1.000000	7583721500	41565.435959	1.000000	1000300	
11	37902.150074	1.000000	1686883400	43900.473430	0.863365	0	
11	35473.137347	1.000000	2758124900	39716.553258	0.893157	1000400	
11	34906.286281	1.000000	13164491100	34906.286281	1.000000	1000000	
11	45341.828784	1.000000	8575996100	45341.828784	1.000000	0	
11	37362.590124	1.000000	2567619600	37362.590124	1.000000	1000000	
11	26368.383067	1.000000	3318751700	26368.383067	1.000000	0	
11	44406.015300	1.000000	8183853000	49368.819776	0.899475	0	
11	36625.002396	1.000000	2244508200	36625.002396	1.000000	0	
11	41360.821791	1.000000	9562835500	41797.263783	0.989558	0	
11	36272.065371	1.000000	9132611600	39136.938870	0.926799	0	
11	40700.411626	1.000000	9274713100	47784.693254	0.851746	0	
