num_vertices	greedy_len	greedy_perc	greedy_nanos	
100	414435.433316	1.000000	34090800	
100	423788.770461	1.000000	35007900	
100	419007.055498	1.000000	36008700	
100	385386.575820	1.000000	34006900	
100	456273.224278	1.000000	34008100	
100	427511.500851	1.000000	33006700	
100	418258.533878	1.000000	35008000	
100	486788.151393	1.000000	35008000	
100	446257.545383	1.000000	35008300	
100	438601.219241	1.000000	35007200	
100	457076.804375	1.000000	34007700	
100	436748.948957	1.000000	36034900	
100	443038.679873	1.000000	36099400	
100	458118.260501	1.000000	37009100	
100	446174.138506	1.000000	36008300	
100	413647.684682	1.000000	36007500	
100	441756.405203	1.000000	37008700	
100	374002.768816	1.000000	35007700	
100	457869.110421	1.000000	36007500	
100	449717.422174	1.000000	35008100	
100	438423.816147	1.000000	36008100	
100	402124.170764	1.000000	35008000	
100	462325.615025	1.000000	35007400	
100	401297.950939	1.000000	36008000	
100	404037.976811	1.000000	39008800	
100	481141.340096	1.000000	35008000	
100	433717.186513	1.000000	35008300	
100	464945.132977	1.000000	35540000	
100	359713.750829	1.000000	36009300	
100	430865.884014	1.000000	35006900	
100	441922.642271	1.000000	35007600	
100	426066.277363	1.000000	35010700	
100	397002.126841	1.000000	36008900	
100	430226.206731	1.000000	35006900	
100	453376.795427	1.000000	35007900	
100	474615.134071	1.000000	36008000	
100	465338.273202	1.000000	34008300	
100	439240.982104	1.000000	35007100	
100	386637.289314	1.000000	35007700	
100	445042.467184	1.000000	35017400	
100	479702.467894	1.000000	34007600	
100	402206.824634	1.000000	35998600	
100	466560.767088	1.000000	39009000	
100	389991.944835	1.000000	35007700	
100	408155.395557	1.000000	43009500	
100	462048.162252	1.000000	36008100	
100	458981.018410	1.000000	35017600	
100	423430.956368	1.000000	33999300	
100	442761.648520	1.000000	35016200	
100	432360.113378	1.000000	35007900	
100	498116.880652	1.000000	34007500	
100	447692.568344	1.000000	34010000	
100	460257.377567	1.000000	38008300	
100	406955.752299	1.000000	34007600	
100	452531.951670	1.000000	35007800	
100	410262.800059	1.000000	34010800	
100	492793.782863	1.000000	35008000	
100	445126.038192	1.000000	34017200	
100	436103.603314	1.000000	34009700	
100	458460.352887	1.000000	34004900	
100	399575.633371	1.000000	34998600	
100	423425.942825	1.000000	36007900	
100	513822.540040	1.000000	35008100	
100	455790.142019	1.000000	39008800	
100	460998.684091	1.000000	36007800	
100	439841.285396	1.000000	39009400	
100	513536.219222	1.000000	35008000	
100	407128.286504	1.000000	35007000	
100	430758.734375	1.000000	35007900	
100	426754.741695	1.000000	37008300	
100	432764.575076	1.000000	36018100	
100	457136.512546	1.000000	34997900	
100	474144.059851	1.000000	35008000	
100	412963.711671	1.000000	35017700	
100	459619.856691	1.000000	35007700	
100	440604.779092	1.000000	36007900	
100	498667.691163	1.000000	35007900	
100	411762.526253	1.000000	35007900	
100	418963.048256	1.000000	34007900	
100	457513.835854	1.000000	34007700	
100	450553.119987	1.000000	35007800	
100	479633.786916	1.000000	36010100	
100	420572.806220	1.000000	35007600	
100	385163.136762	1.000000	34542300	
100	442435.628839	1.000000	35007900	
100	438632.774252	1.000000	35007700	
100	398935.627905	1.000000	34007700	
100	391741.946838	1.000000	35008400	
100	479371.467514	1.000000	37007900	
100	440368.390279	1.000000	35007800	
100	396002.376359	1.000000	35007800	
100	459134.225372	1.000000	34008000	
100	487723.817381	1.000000	35007400	
100	472647.940363	1.000000	35008400	
100	441899.689710	1.000000	39008100	
100	413198.257903	1.000000	35008000	
100	492237.277400	1.000000	35008100	
100	418650.814524	1.000000	34017200	
100	468386.756009	1.000000	35008000	
100	445033.885989	1.000000	35007600	
150	675633.179065	1.000000	133029700	
150	664430.884439	1.000000	107024100	
150	638105.234467	1.000000	108014900	
150	675952.537623	1.000000	122040700	
150	675143.825824	1.000000	108014900	
150	706264.536830	1.000000	108024000	
150	634598.884707	1.000000	115035300	
150	660879.485830	1.000000	107027000	
150	518813.808313	1.000000	108011700	
150	592578.973887	1.000000	108033900	
150	706588.089707	1.000000	108024200	
150	728227.155926	1.000000	108014900	
150	607918.475505	1.000000	106577600	
150	634271.440136	1.000000	108015000	
150	630103.162657	1.000000	108024000	
150	596048.569336	1.000000	107024000	
150	739787.119165	1.000000	125040700	
150	667899.168642	1.000000	114013100	
150	634940.935621	1.000000	108024600	
150	750774.738014	1.000000	113026100	
150	716884.724671	1.000000	116025400	
150	690958.909365	1.000000	109071100	
150	707010.338884	1.000000	110024300	
150	619442.335917	1.000000	111025300	
150	606243.949351	1.000000	110024200	
150	711175.730262	1.000000	115082700	
150	648972.311819	1.000000	109968400	
150	650542.043806	1.000000	108023700	
150	684612.424893	1.000000	110024900	
150	630084.799048	1.000000	109024400	
150	678632.650849	1.000000	111563900	
150	656277.002715	1.000000	116026200	
150	763253.724040	1.000000	108024200	
150	630240.211789	1.000000	120027000	
150	676352.827346	1.000000	109025000	
150	699486.673053	1.000000	112024700	
150	704099.118583	1.000000	111025100	
150	657199.400996	1.000000	111025600	
150	743761.048984	1.000000	112027200	
150	702497.573105	1.000000	109564500	
150	633147.843144	1.000000	126028700	
150	659033.843786	1.000000	110024900	
150	631944.859808	1.000000	112024700	
150	665422.334036	1.000000	109024700	
150	652693.938690	1.000000	108024600	
150	675965.587467	1.000000	108024200	
150	768608.870418	1.000000	109024500	
150	667348.851533	1.000000	118026400	
150	645660.339294	1.000000	113026200	
150	659829.161167	1.000000	109023900	
150	620986.752836	1.000000	117026200	
150	696830.260652	1.000000	108024000	
150	607655.359371	1.000000	110025100	
150	744095.636340	1.000000	109024000	
150	642099.745571	1.000000	107024200	
150	655968.810133	1.000000	109034000	
150	634788.935855	1.000000	108024200	
150	691007.757138	1.000000	111015400	
150	727929.660473	1.000000	107024000	
150	710178.917847	1.000000	113025600	
150	684117.162055	1.000000	109033900	
150	704617.163226	1.000000	116016700	
150	770170.732716	1.000000	116035700	
150	602801.345156	1.000000	111015200	
150	642216.665941	1.000000	121036800	
150	665777.803839	1.000000	122018700	
150	647691.827504	1.000000	114561100	
150	632804.984055	1.000000	112025000	
150	683903.450152	1.000000	109024500	
150	681416.364133	1.000000	110024700	
150	646192.852803	1.000000	110024800	
150	585895.264569	1.000000	124027800	
150	610753.206884	1.000000	109024700	
150	686514.168993	1.000000	122027200	
150	637830.136086	1.000000	114035500	
150	729080.175829	1.000000	107558400	
150	634396.054945	1.000000	107023100	
150	720807.210716	1.000000	107014700	
150	699202.801372	1.000000	120027000	
150	839940.071893	1.000000	109024600	
150	673950.914358	1.000000	107033500	
150	672805.618761	1.000000	107874900	
150	594591.776218	1.000000	112025200	
150	635711.271193	1.000000	108024200	
150	657188.383732	1.000000	111568800	
150	689147.888419	1.000000	107024000	
150	633945.586153	1.000000	107024100	
150	670815.838147	1.000000	107023400	
150	638254.230428	1.000000	107024100	
150	727368.702509	1.000000	115035400	
150	722717.352289	1.000000	109011300	
150	678566.134979	1.000000	108656500	
150	662998.236172	1.000000	108025200	
150	660605.740196	1.000000	107563700	
150	596771.551945	1.000000	109024600	
150	617664.391348	1.000000	107023900	
150	664499.713458	1.000000	109024400	
150	729591.287464	1.000000	107034200	
150	641330.756427	1.000000	108014300	
150	694721.574724	1.000000	106033500	
200	861129.094766	1.000000	250059300	
200	884608.125217	1.000000	251595300	
200	897605.726715	1.000000	247055200	
200	878721.506453	1.000000	248055600	
200	842957.747058	1.000000	252056600	
200	981891.191090	1.000000	252057400	
200	1019110.250885	1.000000	248067500	
200	897941.731611	1.000000	247052700	
200	866668.711901	1.000000	243054300	
200	841838.494651	1.000000	252601300	
200	908298.709130	1.000000	246055300	
200	870830.933637	1.000000	263685000	
200	920069.872427	1.000000	309697600	
200	872276.600611	1.000000	245046600	
200	897086.859873	1.000000	283569200	
200	895947.485591	1.000000	251252900	
200	900978.660854	1.000000	254595800	
200	863338.376800	1.000000	249055100	
200	958267.194304	1.000000	251056300	
200	860135.812706	1.000000	246055200	
200	927322.184019	1.000000	263589400	
200	984896.027079	1.000000	250068200	
200	899948.568865	1.000000	251046600	
200	904263.104916	1.000000	262059000	
200	813381.805433	1.000000	253953600	
200	944458.118564	1.000000	262058300	
200	846725.707465	1.000000	253066400	
200	866062.098818	1.000000	242057200	
200	978320.448068	1.000000	284592500	
200	848729.264161	1.000000	261058000	
200	878741.463312	1.000000	278062500	
200	990489.795010	1.000000	277061800	
200	895054.386449	1.000000	287612400	
200	901777.722327	1.000000	246055300	
200	1019761.809881	1.000000	248058600	
200	979959.508014	1.000000	245051800	
200	936110.959882	1.000000	254600000	
200	980079.437570	1.000000	247045300	
200	872467.107289	1.000000	250066200	
200	884409.749659	1.000000	245054700	
200	863580.447976	1.000000	265604100	
200	930729.318127	1.000000	247111700	
200	1070792.196408	1.000000	252055900	
200	946817.210880	1.000000	244054900	
200	970379.051664	1.000000	243665700	
200	817467.548288	1.000000	242044700	
200	992754.131112	1.000000	244079200	
200	1067192.562769	1.000000	243030200	
200	950382.763259	1.000000	242057600	
200	951834.072361	1.000000	242054500	
200	938698.553081	1.000000	242044700	
200	943730.516862	1.000000	245054700	
200	936720.806292	1.000000	241593000	
200	988410.659269	1.000000	242054500	
200	879474.834646	1.000000	242055100	
200	908766.019640	1.000000	242053700	
200	936722.059097	1.000000	245064600	
200	953910.617015	1.000000	241054200	
200	899691.192562	1.000000	246045400	
200	950020.083905	1.000000	245055000	
200	849483.750528	1.000000	243592900	
200	957576.525596	1.000000	244066400	
200	867328.808623	1.000000	248052200	
200	938493.583985	1.000000	260049500	
200	965819.809201	1.000000	249627100	
200	883081.086909	1.000000	244090500	
200	897771.086085	1.000000	244045400	
200	802276.037104	1.000000	240063600	
200	915133.898020	1.000000	241082100	
200	1045085.108512	1.000000	241054500	
200	959319.436582	1.000000	246054700	
200	917762.015596	1.000000	244054400	
200	985653.586732	1.000000	240085900	
200	881023.003477	1.000000	244054800	
200	898273.847677	1.000000	248056400	
200	925640.065964	1.000000	244054200	
200	956722.755516	1.000000	241587000	
200	898485.849831	1.000000	245054800	
200	886653.634942	1.000000	246055600	
200	953549.783611	1.000000	239066000	
200	1023670.904421	1.000000	242590100	
200	927305.870399	1.000000	244109600	
200	953581.448871	1.000000	249047100	
200	895718.763309	1.000000	250065100	
200	801141.035162	1.000000	246577800	
200	948149.711650	1.000000	241054000	
200	995994.934150	1.000000	248055500	
200	879116.726662	1.000000	244054500	
200	928540.152587	1.000000	242584400	
200	916125.652734	1.000000	240558100	
200	921820.582370	1.000000	249055500	
200	1004787.463354	1.000000	245055100	
200	864828.926307	1.000000	241063900	
200	879726.868103	1.000000	242107500	
200	898853.839645	1.000000	244056300	
200	938956.528307	1.000000	245054000	
200	863659.837415	1.000000	244067500	
200	918420.846899	1.000000	246612400	
200	984730.893479	1.000000	242044900	
200	911729.496957	1.000000	246055100	
250	1224513.378790	1.000000	482108700	
250	1171048.165046	1.000000	496111400	
250	1164603.561167	1.000000	489662300	
250	1259257.507628	1.000000	495102400	
250	1095722.751118	1.000000	477648200	
250	1204592.151229	1.000000	485108300	
250	1072310.578407	1.000000	488646400	
250	1121531.407022	1.000000	499111700	
250	1113483.176397	1.000000	479655800	
250	1044120.023340	1.000000	483096000	
250	1170934.054491	1.000000	483637500	
250	1105547.069149	1.000000	489109400	
