num_vertices	np_len	np_perc	np_nanos	np_heap_len	np_heap_perc	np_heap_nanos	greedy_len	greedy_perc	greedy_nanos	
7	27670.093944	1.000000	15002700	27670.093944	1.000000	7002500	27670.093944	1.000000	0	
7	20930.717666	1.000000	17003600	20930.717666	1.000000	6000500	20930.717666	1.000000	0	
7	34963.565216	1.000000	14003600	34963.565216	1.000000	5000600	34963.565216	1.000000	0	
7	19787.789186	1.000000	15004400	19787.789186	1.000000	5000900	19787.789186	1.000000	0	
7	37342.046056	1.000000	13003600	37342.046056	1.000000	6000700	39772.623896	0.938888	0	
7	26393.631426	1.000000	14002600	26393.631426	1.000000	3000800	26393.631426	1.000000	0	
7	19645.297535	1.000000	15004700	19645.297535	1.000000	8000400	19645.297535	1.000000	0	
7	24931.751125	1.000000	16003600	24931.751125	1.000000	7001900	24931.751125	1.000000	0	
7	26611.808319	1.000000	17003500	26611.808319	1.000000	9002600	26611.808319	1.000000	0	
7	19012.654732	1.000000	13002600	19012.654732	1.000000	7002200	19012.654732	1.000000	0	
7	11870.741133	1.000000	14002600	11870.741133	1.000000	5000800	11870.741133	1.000000	0	
7	26120.413841	1.000000	16003500	26120.413841	1.000000	4001100	26120.413841	1.000000	0	
7	25264.284013	1.000000	13005200	25264.284013	1.000000	1998000	25264.284013	1.000000	0	
7	32422.759282	1.000000	16004000	32422.759282	1.000000	8004100	32422.759282	1.000000	0	
7	20538.077530	1.000000	18001600	20538.077530	1.000000	7001600	20538.077530	1.000000	0	
7	13420.319809	1.000000	16003600	13420.319809	1.000000	6001000	13420.319809	1.000000	0	
7	38292.623979	1.000000	15003100	38292.623979	1.000000	5001300	39784.803478	0.962494	0	
7	20208.763582	1.000000	15003500	20208.763582	1.000000	7001200	20208.763582	1.000000	0	
7	46414.938965	1.000000	14003100	46414.938965	1.000000	7001500	46414.938965	1.000000	0	
7	32535.792558	1.000000	16003700	32535.792558	1.000000	7001700	35492.351922	0.916699	999800	
7	24368.252212	1.000000	17004000	24368.252212	1.000000	8001900	26402.935831	0.922937	0	
7	33344.325284	1.000000	16003600	33344.325284	1.000000	6001500	33344.325284	1.000000	0	
7	20916.415898	1.000000	15005200	20916.415898	1.000000	6000500	20916.415898	1.000000	0	
7	24437.507789	1.000000	14003200	24437.507789	1.000000	6000200	24437.507789	1.000000	0	
7	26371.004214	1.000000	13002900	26371.004214	1.000000	4002000	26371.004214	1.000000	0	
7	31977.067682	1.000000	15002600	31977.067682	1.000000	6002100	34218.459513	0.934498	0	
7	12975.582482	1.000000	14002500	12975.582482	1.000000	5000500	12975.582482	1.000000	0	
7	36284.970751	1.000000	17004400	36284.970751	1.000000	5001700	36284.970751	1.000000	0	
7	39908.712059	1.000000	14003500	39908.712059	1.000000	5000400	39908.712059	1.000000	0	
7	36251.838472	1.000000	14005200	36251.838472	1.000000	4998400	36251.838472	1.000000	0	
7	29291.767371	1.000000	14004400	29291.767371	1.000000	5000500	29291.767371	1.000000	0	
7	22332.960397	1.000000	16006900	22332.960397	1.000000	4000900	22332.960397	1.000000	0	
7	22462.252229	1.000000	15004300	22462.252229	1.000000	5001500	22462.252229	1.000000	0	
7	24398.209660	1.000000	13003200	24398.209660	1.000000	4000600	24398.209660	1.000000	0	
7	24673.433389	1.000000	15006100	24673.433389	1.000000	3998700	24673.433389	1.000000	0	
7	27659.749176	1.000000	13003400	27659.749176	1.000000	3000400	27659.749176	1.000000	999600	
7	29336.606774	1.000000	16003400	29336.606774	1.000000	9001900	29336.606774	1.000000	0	
7	32139.633664	1.000000	16546600	32139.633664	1.000000	8001800	32139.633664	1.000000	1001300	
7	20003.653875	1.000000	14003100	20003.653875	1.000000	7000700	21864.745643	0.914882	0	
7	34695.109856	1.000000	12004200	34695.109856	1.000000	4999600	34695.109856	1.000000	0	
7	15847.241294	1.000000	13003100	15847.241294	1.000000	5002100	15847.241294	1.000000	0	
8	21234.550742	1.000000	164036700	21234.550742	1.000000	28006100	21234.550742	1.000000	0	
8	35974.482158	1.000000	144032500	35974.482158	1.000000	40010200	37106.642320	0.969489	0	
8	33805.270312	1.000000	146031400	33805.270312	1.000000	20005000	42072.204730	0.803506	0	
8	21592.010221	1.000000	157036000	21592.010221	1.000000	75017000	21592.010221	1.000000	0	
8	47396.117451	1.000000	152587600	47396.117451	1.000000	55008800	48952.282250	0.968211	0	
8	31116.732124	1.000000	130029700	31116.732124	1.000000	18004200	35465.071978	0.877391	1000500	
8	29953.999885	1.000000	133029900	29953.999885	1.000000	34007500	29953.999885	1.000000	1000300	
8	24821.090233	1.000000	150032900	24821.090233	1.000000	20005600	24821.090233	1.000000	0	
8	21537.937168	1.000000	129028600	21537.937168	1.000000	18003200	21537.937168	1.000000	0	
8	31600.592465	1.000000	126028800	31600.592465	1.000000	15003300	31729.417714	0.995940	0	
8	31096.274738	1.000000	120026500	31096.274738	1.000000	24005500	31096.274738	1.000000	0	
8	16245.597529	1.000000	134030200	16245.597529	1.000000	25005700	16245.597529	1.000000	0	
8	15058.673215	1.000000	136030900	15058.673215	1.000000	20003900	15058.673215	1.000000	0	
8	28018.725842	1.000000	152043900	28018.725842	1.000000	43010000	28018.725842	1.000000	0	
8	30168.922335	1.000000	145022500	30168.922335	1.000000	27007100	30168.922335	1.000000	0	
8	28007.458956	1.000000	115024800	28007.458956	1.000000	15004000	28007.458956	1.000000	1000200	
8	35564.582684	1.000000	118027300	35564.582684	1.000000	38007800	35564.582684	1.000000	0	
8	37843.028632	1.000000	124551800	37843.028632	1.000000	25005500	39973.043374	0.946714	0	
8	16445.712206	1.000000	140765500	16445.712206	1.000000	34008100	16445.712206	1.000000	0	
8	24067.496028	1.000000	143031500	24067.496028	1.000000	65005900	24067.496028	1.000000	0	
8	28541.087985	1.000000	142031100	28541.087985	1.000000	29006700	28541.087985	1.000000	0	
8	25987.573330	1.000000	131029300	25987.573330	1.000000	23005500	28336.505357	0.917106	0	
8	25465.214337	1.000000	136030800	25465.214337	1.000000	49010800	25465.214337	1.000000	0	
8	35989.127203	1.000000	140587000	35989.127203	1.000000	20004800	35989.127203	1.000000	0	
8	23807.751319	1.000000	132026900	23807.751319	1.000000	39008500	23807.751319	1.000000	0	
8	19089.332695	1.000000	140022800	19089.332695	1.000000	41008500	19089.332695	1.000000	0	
8	40288.566139	1.000000	139031300	40288.566139	1.000000	41008800	44445.176402	0.906478	0	
8	22937.133061	1.000000	141031700	22937.133061	1.000000	39008900	22937.133061	1.000000	0	
8	29545.823576	1.000000	149579700	29545.823576	1.000000	35007800	29545.823576	1.000000	0	
8	19875.015917	1.000000	126037500	19875.015917	1.000000	26005700	19875.015917	1.000000	0	
8	15401.787361	1.000000	109014800	15401.787361	1.000000	22004900	15401.787361	1.000000	0	
8	26837.891918	1.000000	127028000	26837.891918	1.000000	31006200	26837.891918	1.000000	0	
8	13017.813533	1.000000	147033200	13017.813533	1.000000	27006800	14753.121738	0.882377	0	
8	25315.603319	1.000000	129028300	25315.603319	1.000000	45011500	25315.603319	1.000000	0	
8	33546.520603	1.000000	138029600	33546.520603	1.000000	33542300	33546.520603	1.000000	0	
8	33863.563822	1.000000	128030100	33863.563822	1.000000	40008400	36905.331859	0.917579	0	
8	27263.420796	1.000000	138031100	27263.420796	1.000000	59013300	27263.420796	1.000000	0	
8	20438.985720	1.000000	137031000	20438.985720	1.000000	64013800	20438.985720	1.000000	0	
8	45180.513468	1.000000	130029200	45180.513468	1.000000	30007400	48003.123529	0.941199	0	
8	23329.033609	1.000000	152033500	23329.033609	1.000000	46010700	25410.203285	0.918097	999900	
8	40515.801955	1.000000	136559100	40515.801955	1.000000	38008200	40515.801955	1.000000	0	
8	48133.170547	1.000000	141031800	48133.170547	1.000000	66015200	49587.874149	0.970664	0	
8	42657.615922	1.000000	127028800	42657.615922	1.000000	52012900	46963.536231	0.908314	0	
8	37014.639850	1.000000	135029100	37014.639850	1.000000	62014000	37014.639850	1.000000	0	
8	28447.215853	1.000000	137031400	28447.215853	1.000000	47009600	29179.200492	0.974914	1000300	
8	35618.825354	1.000000	121563800	35618.825354	1.000000	16004000	35618.825354	1.000000	0	
8	24947.964233	1.000000	129028500	24947.964233	1.000000	28007000	24947.964233	1.000000	0	
8	28996.959220	1.000000	134029200	28996.959220	1.000000	36009200	29705.811916	0.976138	0	
8	33907.279837	1.000000	129028100	33907.279837	1.000000	48010900	33907.279837	1.000000	0	
8	21851.575501	1.000000	129029800	21851.575501	1.000000	20003300	21851.575501	1.000000	0	
8	37663.938668	1.000000	131030000	37663.938668	1.000000	23004500	37663.938668	1.000000	0	
8	13684.669179	1.000000	146033500	13684.669179	1.000000	13004300	13684.669179	1.000000	0	
8	38722.263390	1.000000	114553500	38722.263390	1.000000	17004900	38722.263390	1.000000	0	
8	33724.122792	1.000000	120025900	33724.122792	1.000000	11003100	33724.122792	1.000000	0	
8	35972.675794	1.000000	145031500	35972.675794	1.000000	34008300	38094.712500	0.944296	0	
8	28149.702112	1.000000	122027000	28149.702112	1.000000	27006100	28149.702112	1.000000	0	
8	36009.547154	1.000000	122027100	36009.547154	1.000000	30006700	36886.549517	0.976224	0	
8	36044.929927	1.000000	135030300	36044.929927	1.000000	47010800	36044.929927	1.000000	0	
8	27371.598190	1.000000	118558300	27371.598190	1.000000	19004800	27371.598190	1.000000	0	
8	30949.220792	1.000000	154034900	30949.220792	1.000000	57012200	30949.220792	1.000000	0	
8	39829.674936	1.000000	127028900	39829.674936	1.000000	29006200	39829.674936	1.000000	0	
8	32585.830520	1.000000	112026100	32585.830520	1.000000	13002100	35141.851306	0.927266	0	
8	28688.353059	1.000000	135030300	28688.353059	1.000000	44009900	28688.353059	1.000000	0	
8	13996.376665	1.000000	127029300	13996.376665	1.000000	28006100	13996.376665	1.000000	0	
8	24498.455410	1.000000	140565400	24498.455410	1.000000	42009800	24832.743238	0.986538	0	
8	20830.929594	1.000000	134029600	20830.929594	1.000000	21004600	20830.929594	1.000000	0	
8	21785.819256	1.000000	143032200	21785.819256	1.000000	62013900	21785.819256	1.000000	0	
8	31165.377623	1.000000	145032800	31165.377623	1.000000	38009800	33941.772192	0.918201	0	
8	17951.153225	1.000000	137029800	17951.153225	1.000000	34007500	18310.075784	0.980398	0	
8	29588.343848	1.000000	134814200	29588.343848	1.000000	49011300	29588.343848	1.000000	0	
8	39158.635233	1.000000	137074500	39158.635233	1.000000	36007200	39604.654036	0.988738	0	
8	31303.625411	1.000000	135030300	31303.625411	1.000000	42010400	31303.625411	1.000000	0	
8	22981.363710	1.000000	127028200	22981.363710	1.000000	15003300	22981.363710	1.000000	0	
8	39906.076762	1.000000	123027400	39906.076762	1.000000	33008500	39906.076762	1.000000	0	
8	32100.187064	1.000000	132029000	32100.187064	1.000000	26006300	32100.187064	1.000000	0	
8	36022.006955	1.000000	113024500	36022.006955	1.000000	24005300	36022.006955	1.000000	0	
8	32529.623701	1.000000	146564500	32529.623701	1.000000	49010600	32529.623701	1.000000	1000000	
8	21209.153778	1.000000	133030100	21209.153778	1.000000	57013700	21944.298943	0.966499	0	
8	27665.096329	1.000000	134029200	27665.096329	1.000000	17003600	27665.096329	1.000000	0	
8	17474.376428	1.000000	139031400	17474.376428	1.000000	28006200	17474.376428	1.000000	0	
8	29193.695744	1.000000	140680700	29193.695744	1.000000	52010700	29193.695744	1.000000	0	
8	23547.352539	1.000000	146032200	23547.352539	1.000000	55549300	23950.249113	0.983178	0	
8	42838.733595	1.000000	126028700	42838.733595	1.000000	29006100	42838.733595	1.000000	0	
8	40349.365961	1.000000	135030200	40349.365961	1.000000	48010700	40349.365961	1.000000	0	
8	32401.062596	1.000000	130030900	32401.062596	1.000000	44008700	33770.016023	0.959462	0	
8	25180.018742	1.000000	132029700	25180.018742	1.000000	44010000	25180.018742	1.000000	0	
8	23187.918396	1.000000	156035100	23187.918396	1.000000	52011500	23187.918396	1.000000	0	
8	31596.762380	1.000000	114026100	31596.762380	1.000000	58012400	31880.021564	0.991115	0	
8	28878.793694	1.000000	126028600	28878.793694	1.000000	35008300	29495.758815	0.979083	0	
8	34552.039296	1.000000	127028200	34552.039296	1.000000	30006900	34552.039296	1.000000	0	
8	36516.309028	1.000000	121027100	36516.309028	1.000000	26005500	38533.370209	0.947654	0	
8	39706.569251	1.000000	134030000	39706.569251	1.000000	37008500	44082.324713	0.900737	1000600	
8	36292.790919	1.000000	140031300	36292.790919	1.000000	36007600	37305.149109	0.972863	0	
8	23203.369497	1.000000	116026200	23203.369497	1.000000	27535800	23203.369497	1.000000	0	
8	29946.395536	1.000000	113025400	29946.395536	1.000000	34007500	29946.395536	1.000000	0	
8	32118.303815	1.000000	132030600	32118.303815	1.000000	48010000	32118.303815	1.000000	0	
8	36876.456893	1.000000	138030600	36876.456893	1.000000	29007100	36876.456893	1.000000	0	
8	32502.533047	1.000000	136030500	32502.533047	1.000000	53011400	33800.348846	0.961603	1000300	
8	31661.714963	1.000000	134030000	31661.714963	1.000000	28007000	31661.714963	1.000000	0	
8	33226.075252	1.000000	126569200	33226.075252	1.000000	30998000	33226.075252	1.000000	0	
